comments,N,lang
"The flat is comfortable, well equipped and clean, linens and towels too. The neighbourhood seemed to be very safe. 
We loved the location. Very close to the Seine river, Latin Quarter as your """"""""backyard', close to 6th district, Ile de la cité. 
There are nearby shops, restaurants and metro stops + many tourist attractions are within walking distance. We were addicted to the Crepes served just around the corner. 
The studio apartment is perfect for a young couple like ourselves. It was exactly as advertised and Sam was a great host. With limited communication we met at the prearranged time. 
He gave us a few insider's tips on restaurants and the one we went to was excellent. The free Wi-Fi came very handy when googling what to do in Paris. 
The small kitchen, fridge and shower offer what they promise, neighbours are friendly and because the studio is in the first floor in the inner courtyard you don't get disturbed by the street noise.
We'd quite happily stay here again

El apartamento es confortable, agradable, bien equipado, con sábanas y toallas limpias también. La cercanía es segura. Nos gustó mucho la localización del piso. Muy cerca del rio de La Seine, detrás del Barrio Latino y cerca del distrito número 6, la Isla de la """"""""Cité"""""""". Tiendas cercanas, restaurantes y estaciones de metro también. Nos comíamos cada día unas """"""""Crepes"""""""" en la esquina de la calle. 
El apartamento es perfecto para una pareja joven como nosotros. Era tal y como la descripción lo decía y Sam es un anfitrión fantástico!! Nos comunicamos poco con él antes, y nos encontramos perfectamente en la hora prevista de llegada. Nos aconsejó varios restaurantes y él que elijimos fue excelente. El wifi gratis fue de mucha ayuda a la hora de buscar lo que se tenía que ver en Paris. 
El estudio es perfecto para no alcanzar un presupuesto en Paris porque esta muy bien situado.
No tuvimos ningún problema con la pequeña cocina, la nevera o la ducha. El barrio es agradable y siendo un primer piso dentro de un patio ajaradinado, el ruido de la calle no molesta en nada.
Volveremos a alquilar este apartamento sin duda.


",1,english
Problèmes de bruits nocturnes tant que la fenêtre ne sera pas remplacée.,1,catalan
"ห้องพักอยู่ในทำเลที่ดีมาก สะดวก สะอาด ปลอดภัย ห้องสวย
Evelio เป็นมิตรมาก ช่วยเหลือได้ดี มาต้อนรับและมาส่ง ช่วยเรียกแท็กซี่ให้ ทำให้ประทับใจมาก คิดว่าถ้ามาปารีสคงมาพักที่นี่อีกแน่นอน",1,catalan
Des gens formidables ... Bravo et gentil! Appartement très confortable et mignon. Je le recommande vivement!,1,catalan
"Cyril's is a very cozy, immaculate space.",1,english
El depto. Esta perfectamente ubicado. Tiene todo lo necesario y la zona de momartre esta muy buena. Todo funciona de maravilla. Hay lavadero cerca. A 3 cuadras de sacre ceur. Super recomendable!!,1,catalan
Magical place,1,english
"excellent accueil, merci !",1,catalan
"L’apartament del Guillaume és (Website hidden by Airbnb) còmode, càlid i amb molt bones conexions de transport. Les vistes són espectaculars i dutxar-se amb elles és al.lucinant. Si vols respirar Montmartre des d’un apartament tradicional parisenc aquest és el teu lloc. A més, el Guillaume és super atent i sempre està localitzable. Ens va deixar moltes recomanacions útils. No el vam poder conèixer en persona però la seva amiga Yolanda era encantadora també. I agraïm la flexibilitat amb el chek-in i el check-out. Repetiríem sens dubte.",1,catalan
"Estudi olt ben situat, a prop de parada de metro y un barri molt tranquil. És un apartament molt curiós, estrany al principi però divertit a mesura que s'hi viu. Molt net tot",1,catalan
Quartier très très sympa,1,catalan
Charmante petite chambre  et très  chouette accueil. A recommander,1,catalan
Perfectly cozy Apartment!,1,english
Excellent!,38,english
"L'apartament era tal qual estava descrit. L'Angie molt atenta, contestava ràpidament els missatges amb qualsevol dubte.",1,catalan
"J'ai aimée rester chez Antonella!
La chambre est trés grande! Et Antonella est trés agréable e gentil!",1,catalan
"A 5 minutes d'opéra, chambre très agréable. A recommander.",1,catalan
"Nos hemos sentido muy a gusto.
La descripcion del lugar a sido la correcta. Su ubicacion fantastica.",1,catalan
Perfect! Excellent! Marie-Laure is very attentive.,1,english
"El piso es como se presenta en fotos. Ideal para una pareja. 
Barrio Marais. Cerca de bares. Pubs. Buena vida nocturna. 
Cercano a Museo Pompidou. Calle Rivili. Metro.  Isla de la Cité. 
Recomiendo ampliamente a Gilles. 
Sin dudas volvería a hospedarme ",1,catalan
Tres sympa!,1,catalan
Perfect!!!!,4,english
L'esperienza è stata positiva. Tempestività e cortesia.,1,catalan
C'est super!,1,catalan
PERFECT,3,english
"Very nice little apartment, AMAZING LOCATION!",1,english
Super adresse. A proximite de la Bastille ou de Bercy. Son hôte est très accueillante. Je recommande,1,catalan
"民宿位于一个非常有活力的街区,交通方便,周边治安感觉也不错｡这里可以乘地铁在半个小时左右抵达卢浮宫､奥赛博物馆,巴黎圣母院的距离更近,天气好甚至值得步行前往｡在民宿周边吃早餐晚餐会比香榭丽舍大道､卢浮宫一带的餐馆更加美味地道,热情的老板Carole可以给你提供很详细的周边餐馆的情报,其中部分餐馆非常有名,最好提前预定｡该民宿的主要问题是天花板很低(隔音不好)且唯一的窗户很小,有时可能会给部分租客压抑的感觉｡从街道通向民宿的里弄给我印象深刻,真有一种曲径通幽的感觉｡以后再来巴黎的话,依然会考虑在巴士底这一带选择住宿｡",1,catalan
"Appartamento molto carino. Pulito e con tutto il necessario. Posizione strategica, a due passi dal Centre Pompidou e a 5 minuti da Notre Dame.
Consigliato.",1,catalan
"일단 위치가 에펠탑에서 가까웠어요. 한 5분,10분 걸어가면 에펠탑이 나왔어요. 숙소는 주택가에 있어서 매우 조용했고, 주변에는 마트나 식당같은 가게들이 많아서 되게 편리했습니다. 집도 사진에서 보이는 그대로 였고, 집이 깔끔하게 정리되어 있어서 좋았습니다. 소품 하나 하나가 모두 예뻤어요. 호스트인 Martine도 계속 여행 정보를 알려주면서 굉장히 친절했습니다. ",1,catalan
"La nostra estada a París, a casa de la Benedicte, ha estat impresionant, molt agradable i fàcil arribar amb les meves dos nenes, de 5 i 1 any, a un apartament amb tantes disfresses i joguines, doncs les petites es relaxaven a l'arribar com si arribessin a casa seva, tot un plan!
",1,catalan
Excellent host...5star,1,english
"La Zona es perfecta. Céntrica y barrio de tiendas. Supermercado a 50 metros. La casa es súper cómoda y esta 100% equipada (lava vajillas, lavadora, nesspreso, etc.). El edificio es ideal, el anfitrión 10/10. La casa totalmente funcional! La cama y sillones cama, súper cómodos. RECOMENDADO 100% !!!",1,catalan
Alles perfekt!,4,catalan
Just perfect,12,english
"Alain si è dimostrato estremamente preciso e disponibile. Le indicazioni di accesso erano precise e ci hanno permesso di raggiungere l'appartamento senza problemi. La posizione è molto centrale e ben collegata, a due passi da RER, autobus e da molti monumenti famosi (Giardini del Lussemburgo, Saint Germain des Près, Notre dame per citarne alcuni).
Molto romantica la vista della cupola del Pantheon che si ha dal letto...
Decisamente una bellissima esperienza.",1,catalan
Great Hosts Great Place,1,english
"Marc es una persona absolutamente limpia, respetuosa, honesta, independiente que te brinda tu espacio.
 Su departamento se encuentra en una zona formidable en la esquina de la estacion de metro de la linea 12 notre dame des champs, lo que te permite moverte por paris con facilidad.
  Asi que, quedarse con Marc es una muy buena opcion.

Marc est une personne absolument propre, respectueux, honnête, indépendant vous donne votre espace.
  Son appartement se trouve dans un coin magnifique de la station de métro de la ligne 12 Notre-Dame-des-Champs, ce qui permet de vous déplacer facilement dans Paris.
   Alors, restez avec Marc est une très bonne option.

Marc is a person absolutely clean, respectful, honest, independent gives who you your own space.
  His apartment is in a wonderful corner of the subway station of line 12 Notre Dame des Champs, allowing you to easily move around paris.
   So, stay with Marc is a very good option.",1,catalan
Bel appartement.,5,catalan
"Super accueil de la part de Aymeric! 
Un super week-end à Paris.
Commerces à proximité, propreté parfaite. 
Je recommande !",1,catalan
Merci à Sylvia RAS,1,catalan
Simply perfect Parisian home.,1,english
Super ! Je recommande,2,catalan
"Conforme a la description. Bien placé 
Je recommande alex",1,catalan
Casa stupenda e un host eccezionale. Assolutamente consigliata per atmosfera e comodità!,1,catalan
Great apartment!,27,english
Super hôte. Je recommande!,1,catalan
Charmant petit studio calme.,1,catalan
"Lugar muy tranquilo ,,personas de la zona amables ,,que nos da tranquilidad",1,catalan
"Maria 的房间地理位置非常好,就在rer b线port royal 站下来右手边走到路口右转直走300米左右左转就到,房间在6楼,有电梯可以上去,所以不用担心行李搬运的问题,房间离主要线路的地铁站走路10几分钟,房东在我们去的时候不在巴黎,但也尽可能的让别人帮助我们,人非常nice｡",1,catalan
Accueil très sympathique de Maria. Quartier très calme,1,catalan
perfect place,2,english
Good meeting. Excellent region. Very nice flat.,1,english
"EStuvimos en Paris DISFRUTAMOS todos. gracias a Cathy. me gusta la casa de cathy. en la próxima, también quiero que visites la casa de Cathy!",1,catalan
Philippe est très accueillant! Le quartier est accessible!,1,catalan
"Philippe房东人非常好,在巴黎能住到这么便宜的房子是不可思议的,直走走5分钟就是地铁,交通买东西什么都方便,我们要去办手机卡房东也陪我们去还给我们翻译,不过晚上需要安静不要乱走动房子木地板会有声音｡merci｡",1,catalan
Excellent stay!,6,english
"Good position to discover a nice Paris. Close to Canal de l'Ourcq, bassin et parc de la Vilette, Parc de Belleville, Parc de Buttes Chaumont and nice views all over. ",1,english
"Marcoさんのﾌﾗｯﾄに滞在できてとても良かったと思いました｡
部屋は素敵な内装で天窓からは優しい光と風が入り､近所にはｸﾞﾙﾒなお店が並び､想像以上に楽しめました｡
日中､歩き疲れてもﾊﾞｽやﾒﾄﾛが目の前にあり休憩にﾌﾗｯﾄに戻ることも容易でﾊﾟﾘ生活を楽しめました｡(中高年に女性の二人旅で色々と大変な事もありましたが)
ﾁｪｯｸｱｳﾄの日､私と友人の二人は重いｽｰﾂｹｰｽを下げて狭く少し傾いた階段(ﾊﾟﾘの古い建物はどこもそうなのでしょうが)を降りられるかどうか､さらに夕方のﾗｯｼｭｱﾜｰ時に空港まで行くﾀｸｼｰを捕まえられるか少々不安でした｡
Marcoさんにﾒｰﾙで連絡するとすぐに返事があり､当日は支障なくﾀｸｼｰを拾ってもらい無事空港まで行くことができました｡
大変助かりました｡ありがとうございました｡",1,catalan
"非常好的住宿体验,Marco非常热心,住的地方也很棒 推荐大家",1,catalan
"Muy buen anfitrion...lastima q estuvimos poco tiempo
El apto.hermoso
Gracias x todo fabrice...un placer",1,catalan
Petit studio très accueillant et bien arrangé.  Lara est disponible et acceuillante,1,catalan
LE SOUJOUR CA ETE SUPER,1,catalan
Bel appartement. Bien situé. Chouette accueil. Merci.,1,catalan
Great apartment.,17,english
Buena ubicacion,3,catalan
Muy buena ubicacion. Recomendable,1,catalan
Great stay at Emmanuels place perfect location.,1,english
Merci Adrien! Très beau quartier!,1,catalan
"Logement idealement situe
Rue tres calme",1,catalan
tres bien situé..super appart,1,catalan
"Great location. Beautiful apartment. Fully equipped. Very quiet. Very effective hospitality.  
Warmly recommend...",1,english
Domino est une personne adorable,1,catalan
genial. barrio precioso,1,catalan
Le proprio hyper dispo ..aplart born situé,1,catalan
Towels are small.,1,english
"Lo studio è piccolo ma confortevole e vivibile. Ottima zona, molto tranquilla e ben servita. Comunicazione veloce e chiara, Marie è molto disponibile. La cucina è piccola (frigo, bollitore, micronde e una piastra), il bagno ha una doccia grande e la finestra sul cortile interno. Molto caldo! Consigliato. Se tornerò a Parigi sicuramente lo terrò in considerazione.",1,catalan
"Perfect Host! Excellent location!
",1,english
"Hamar egun eman dut Ericenean eta atziaki maitzaki ez gabiltzanontzat itzela da: apartamentuko tamaina, kokapena, utzitako baliabideak eta erantzuteko prestasuna oso onak izan dira. J'ai passé dix jours chez Eric. C'est un endroit parfait pour les touristes qui n'ont pas de complications: la taille de l'appartement est bon, mais aussie l'emplacement, l'équipement et la réponse rapide.I've been at Eric's for ten days and I found it perfect for the uncomplicated tourist like me: space, location, equipment and immediate response have been excellent. Sono stata per dieci giorni da Eric e l'ho trovato un luogo perfetto per quelli que non fanno storie: lo spazio, l'ubicazione, l'attrezzatura e le pronte risposte sono stati perfetti. He pasado diez días en el apartamento de Eric y me ha parecido un sitio ideal  para los turistas que no son tiquismiquis: la amplitud, la ubicación, el equipamiento y la rapidez en contestar han sido perfectos.",1,catalan
Alles prima!,1,catalan
Excellent on all counts.,1,english
"El barrio es perfecto. a 3 cuadras del Arco de Triunfo.
Metro y buses cercanos. Barrio  con bares y restaurantes .
Delicioso en primavera



",1,catalan
"Accueil impeccable. On se sent bien chez Charlotte. Si on en a l'occasion, on reviendra. Je recommande!",1,catalan
L'apartament és molt petit i encantador. Nosaltres érem quatre persones i se'ns va quedar petit tot i que ens van avisar. Però ens vem sentir com a casa. L'apartament està bastant allunyat del centre però disposa de l'estació Simplon al costat.,1,catalan
"予約時の対応も､到着時の対応もAgatheは優れたﾎｽﾄでした｡また､到着時の施設説明も丁寧で､助かりました｡
AgatheのｱﾊﾟｰﾄﾒﾝﾄはﾒﾄﾛのParmentierから1-2分とﾍﾞｽﾄﾛｹｰｼｮﾝ｡Merciなどがあるﾏﾚ地区までも､歩いて15分くらいと好立地です｡Agatheの薦めてくれた近くのﾚｽﾄﾗﾝは､どれも美味しかった｡
",1,catalan
Cadre pittoresque en plein Paris.,1,catalan
Cadre très sympa !,1,catalan
Studio sympa. Très cosy.,1,catalan
"Un seul mot : PARFAIT.
Je le recommande :-) !!!",1,catalan
"地點非常好,一出門口就是地鐵站,而且不會有吵的感覺,另外雖然我們去的時候房東不在,但是他的代理人James非常盡責幫助我們很多(有任何問題都會立即處理)^^,網路也非常順暢,還可以撥打臺灣室內電話,而且住的地方附近就有超市很方便,離艾菲爾鐵塔走路只要5分鐘喔!去凡爾賽宮也可以搭RER C線直達喔!非常推薦大家來巴黎時可以選擇住這邊喔^^",1,catalan
Buena ubicacion. Comodo departamento,1,catalan
"Lloc correcte, amb tots els serveis i molt ben ubicat per visitar la ciutat utilitzant el metro.",1,catalan
Perfect!!!,7,english
E,2,english
Excellent je recommande !,1,catalan
"Sam merci :)
Appartement impeccable 
Agréable balcon. Super central. A deux pas de la Tour Eiffel. Ideal ",1,catalan
"Super séjour chez Maxime. Accueil hyper chaleureux ! Vous vous sentez chez vous dès les premiers échanges par mails, texto...
Superbe appartement, localisation extraordinaire, au cœur de Paris, le vrai Paris ! Surtout avec les infos de Maxime qui connaît à fond le quartier ! Impossible de trouver mieux … Je reviendrai !
Merci  ++++ pour tout Maxime !

I had such a nice stay at Maxim’s apartment! Maxime is so nice that you feel at home from the first email exchange.
Wonderful flat, amazing location, in the heart of Paris, the real one! Especially with Maxim’s good advices on this district he knows so well! Not possible to find a better place to stay in Paris! I’ll come back! Huge ”thank you” to you, Maxime! 

Me ha encantado el tiempo pasado en casa de Maxime, tras una acogida muy calurosa! Os sentiréis como en casa desde los primeros intercambios por correo. 
Piso muy bonito, en un barrio genial, en el corazón de Paris! Sobre todo con los consejos de Maxime que conoce muy bien los alrededores. No encontraréis mejor… ¡Volveré!
¡Muchas Gracias para todo Maxime¡

",1,catalan
Quartier très sympa : juste en bas de la Mouffe et ballade cool jusqu'à Notre Dame...,1,catalan
Gilian's flat has a unique style. Had a good stay in Paris.,1,english
"Excellent Location
Great Host
Perfect Description",1,english
"És un apartament fantàstic!! Immillorable!! La situació és genial (està a prop de tot) i està molt ben comunicat (metro, a peu o bici). L'apartament és molt tranquil perquè dóna a un pati interior però que té molta llum, sembla que estiguis apartat de la ciutat però quan surts al carrer hi ha molta vida i està ple de comerços, restaurants i bars genials amb gent a totes hores. L'apartament és molt acollidor i per a dues persones és genial, té de tot i ets sents com a casa. El vàrem trobar net i endreçat, amb el llit fet i les tovalloles a punt. És un quart sense ascensor però al segon dia que puges les escales ja te n'oblides que està tant amunt, no és cap problema! L'Agathe és una noia molt maca i agradable i ens va recomanar llocs on anar a prendre alguna cosa i espectacles alternatius. Estem molt agraïts d'aquesta experiència! 100% recomanable!",1,catalan
Super! Oriental apparts in Paris) very cute!,1,english
"La descrizione dell' annuncio è precisa e corretta. L'appartamento è adorabile e lo spazio è perfetto per due persone. Si trova in pieno centro ed è in una posizione perfetta se la sera vuoi uscire senza prendere i mezzi urbani. 
Maxime è molto disponibile. ",1,catalan
"Chambre propre et lit confortable. 
Un peu de bruit (équivalent auberge de jeunesse). 
 Nombreuses SDB et WC. Grande cuisine agréable. ",1,catalan
"Super propre, accueillant. Je recommande ",1,catalan
"위치 정말 최고에요!! Chatelet에서 리옹역, 샤를드공항, 시내 어디든 지하철, 버스로 이동하기 좋은 위치입니다. 숙소 주변에 마트, 식당, Bar, 상점 등이 많아서 이용하기 편리해요. 주방이 잘 되어 있는데요, 인덕선 냉장고 성능이 좋고, 식기류(접시, 컵, 포크 등) 충분해서 요리하기 좋아요. 따뜻한 물 잘 나와요. 쇼파베드 잠자기 편해요. 아늑하고, 두사람이 독립된 공간에서 편하게 지내기 딱 좋은거 같아요~ ",1,catalan
"Fue excelente el servicio,
Las condiciones del inmueble en perfectas condiciones y la persona encargada muy correcta.
Quedamos satisfechos, muchas gracias!

Le service a été excelent!,
L'appartement était en parfait état, et la personne en charge était tres polie, il nous a conseillé et reservé un restaurant magnifique!
On est tres satisfaits!
Merci beaucoup!",1,catalan
"Très sympa, très commode",1,catalan
Tout s’est très bien passé. Christian est très accueillant.,1,catalan
"En Nico és un amfitrió molt agradable i atent i es preocupa per resoldre inmediatament  qualsevol problema que pugui sorgir. El pis te una bonissima situació, al costat de dos línies de metro, i és tot exterior i molt lluminós, el que el fa molt agradable. El barri és força tranquil. Respecte el pis, podria millorar la neteja.",1,catalan
Great apartment,20,english
"Chambre et salle de bain propre (un peu petite cette dernière). Grand coin cuisine et salon. Un peu bruyant (tramway, situé en bord de route).",1,catalan
Chambre correcte et propre accès facile aux transports en communs,1,catalan
"Chambre propre, calme, proche du tramway !",1,catalan
"非常让我们三个女生惊艳的apartment,屋子非常干净整洁,Patricia女士非常细心的为我们准备了巴黎游的指南手册,屋子是很具有当地巴黎人风格的装修让人非常喜欢,阳台可以清晰看到埃菲尔铁塔,以及安静整洁的街道,非常棒的体验,给我们此次旅行带来了非常难忘的回忆!我们非常喜欢这里以及感谢优雅的Patricia女士的招待,让我们有了一次非常难忘的巴黎之旅｡",1,catalan
Had a perfect stay,1,english
Un petit estudi molt ben situat a Pigalle. Sense luxes però molt pràctic per moure's durant pocs dies per Paris.,1,catalan
중심지에 있어서 관광하는데 너무 편했고 주변에 맛집엄청많아요 거실을 쓰는거라 불편할 줄 알았는데 Marie님이 많이 배려해주셔서 편하게 지냈어요 단점이라면 건물이 방음이 안되는점 화장실이 좁은 점 하지만  전체적으로는 괜찮.,1,catalan
"Great bed, quiet, nice breakfast, perfect location.
Didi is a great guy.
Can't ask more.",1,english
"Super nuit chez Didi ! Très cool, belle chambre, superbe petit déjeuner. A recommander !",1,catalan
"Très bon accueil. Je suis arrive tard et reparti tôt, aucun problème. Didi a le sens de l'hospitalité !",1,catalan
"DIDI Est très accueillant est serviable. C est propre, bonne literie.
Que du bon 
Merci Didi 
Éric Weber",1,catalan
Super accueil de Didi apt tres bien situé propre grande chambre calme,1,catalan
"Très gentil, ponctuelle, beau et accueillant appartement. Simplement parfait. Merci Raphaël!
Molto gentile, puntuale, appartamento bello e accogliente. Semplicemente perfetto. Grazie Raphael!
Very kind, punctual, beautiful and pleasant apartment. Simply perfect. Thanks Raphael!",1,english
Perfect !,15,english
Super séjour! On recommande,1,catalan
Christophe a ete tres disponible. Merci.,1,catalan
"super accueil,chambre tres bien située a la sortie du metro lamarck,rien a dire on reviendra!",1,catalan
Au top! Merci Christophe!,1,catalan
