comments,N,lang,en-en,comments
"LOVED THE LOCATION, LOVED THE CUTE LITTLE FLAT AND LOVED THE HOST! Very comfy stay! defo coming back :)",1,english,en-en,"LOVED THE LOCATION, LOVED THE CUTE LITTLE FLAT AND LOVED THE HOST! Very comfy stay! defo coming back :)"
Excellent apartment in a cute Parisian neighborhood!,1,english,en-en,Excellent apartment in a cute Parisian neighborhood!
Merci !,14,catalan,fr-en,Thank you !
Bel appartement proche du métro exelmans (métro ligne 9). 2 chambres spacieuses.,1,catalan,fr-en,Beautiful apartment close to the metro station exelmans (metro line 9). 2 spacious guest rooms.
Excellent location. Cozy apartment.,1,english,en-en,Excellent location. Cozy apartment.
Its perfect!,1,english,en-en,Its perfect!
"Positives:
- Excellent location, close to Metro stops, grocery, restaurants
- Clean, well kept, good amenities (micro, pots, dishes, etc)
- Price reasonable
Negatives
- on 3rd floor with no elevator
- low ceilinged bathroom",1,english,en-en,"Positives:
- Excellent location, close to Metro stops, grocery, restaurants
- Clean, well kept, good amenities (micro, pots, dishes, etc)
- Price reasonable
Negatives
- on 3rd floor with no elevator
- low ceilinged bathroom"
"L'Apartament és molt còmode i pràctic per aquells que utilitzem l'Aeroport de París-Beauvais amb Ryanair. És a dues passes de Porte Maillot i a tocar (200mts) de dues estacions de metro que permeten la major part de combinacions directes (Argentine i sobretot Étoile Charles De Gaulle), en aquesta darrera també hi ha parada de RER per anar a les afores (Versailles, Eurodisney...). El carrer hi ha petits supermercats i botigues de queviures, fleques, algun restaurant, cafeteries, el típic quiosc a on es ven premsa internacional, també, etc. No és el Marais, ni Montmartre, ni Sant Germain dp, d'acord, però et permet fer el que vulguis en totes direccions. 
És net, acollidor, potser petit, però no cal res més, tot és a l'abast.
El que més pot sorprendre al nou visitant és que tombant el carrer et trobes amb l'Arc de Triomf a tocar. 
L'immoble és ben tranquil, en 8 dies només ens vàrem creuar amb 2 o 3 veïns. 

",1,catalan,ca-en,"The Apartment is very comfortable and practical for those who use the Airport of Paris-Beauvais with Ryanair. It is a few steps from Porte Maillot and near (200mts) from two metro stations that allow the majority of combinations of direct (Argentine and especially Etoile Charles De Gaulle), in the latter there is also a stop of the RER to go to the suburbs (Versailles, Eurodisney, etc.). The street there are small supermarkets and grocery stores, bakeries, a restaurant, cafés, the typical kiosk where they sell international newspapers, also, etc. It is not the Marais or Montmartre or Saint Germain dp, ok, but lets you do what you want in all directions. 
It is clean, cozy, perhaps little, but you don't need anything more, everything is available.
The more you can surprise the new visitor is that the end of the street you come across the Arc de Triomphe in touch. 
The property is very quiet, in 8 days only, we cross with 2 or 3 neighbors. 

"
"我们一家六口到巴黎旅游(有两位七十岁以上的老人),patrick的房源位置非常好,干净舒适,有家的味道,由于是老房子,隔音不太好,但不影响居住,有一个小电梯,非常方便老人上下｡步行到凯旋门十分钟,步行到地铁站乘坐地铁到巴黎春天二十分钟,距离面包店､超市及自由市场均在十分钟的步行行程内,非常方便,而且生活用品齐全(柴米油盐酱醋茶都有),非常方便自己做饭｡patrick是一个非常好的房东,通讯及时,当我们感觉房间比较冷的时候,给Patrick发了一条信息,管家Marta很快就上楼帮助我们调试了取暖设备,使房间的温度很快的上升了,让我们度过了一个温暖的假期｡Marta虽然只会法语和葡萄牙语,但是肢体语言丰富,不影响我们的沟通,是个非常热情的人｡Partrick和 Marta让我们在人生地不熟的巴黎感受到家人般的关心｡",1,catalan,zh-en,"Our family of six to Paris Tour(two seventy-year-old or older),patrick listings location very good,clean comfortable,has home of taste,as is the old house,soundproofing is not very good,but does not affect the living,there is a small Elevator,very convenient for the elderly up and down the room. Walk to the Arc de Triomphe in ten minutes,walk to the metro station, take the Metro to Paris in the spring of twenty minutes,from the bakery, and supermarkets and the free market are within ten minutes walk of the trip,very convenient,and supplies furnished(柴米油盐酱醋茶 are there),very easy to cook by yourself as well. patrick is a very good landlord,a communication time,when we feel the room is cold,give Patrick a piece of information,the housekeeper Marta quickly upstairs to help us debug the heating device,so that the room temperature quickly rose,so we spent a warm vacation home. Marta although only French and Portuguese,but the body language is rich,does not affect our communication,is a very passionate person. Partrick and Marta let us in unfamiliar Paris feel the family-like care home."
Le calme-près de commerce- près de métro,1,catalan,fr-en,The quiet-close trade - close to subway
alles toll,1,catalan,de-en,everything is great
"Fue una estancia perfecta. El apartamento es tal cual las fotografías. La calle está llena de vida, tiendas, restaurantes. Al lado del Sacre Coeur. Muy bien comunicado. 

The apartment is cute and very clean. The Neighborhood is very quiet. 

Un lieu fantastique pour se loger durant ton séjour à Paris. Nous reviendrons. 

merci",1,english,en-en,"Fue una estancia perfecta. El apartamento es tal cual las fotografías. La calle está llena de vida, tiendas, restaurantes. Al lado del Sacre Coeur. Muy bien comunicado. 

The apartment is cute and very clean. The Neighborhood is very quiet. 

Un lieu fantastique pour se loger durant ton séjour à Paris. Nous reviendrons. 

merci"
Our stay at 44 Rue Damrémont was fantastic...perfect location!,1,english,en-en,Our stay at 44 Rue Damrémont was fantastic...perfect location!
"非常好的地段,主要的景点几乎都在步行范围内,出门五分钟是巴黎最大的地铁换乘站之一｡公寓附近很安全,同一街区就有非常不错的法国餐馆(强烈推荐Le Comptoir de la Gastronomie)｡公寓不大但是很整洁,唯一的问题是晚上有蚊子,不过只要带个O型血的小伙伴就好了｡",1,catalan,zh-en,"Very good location,major attractions are almost all within walking distance,go out for five minutes is Paris's largest subway transfer station, one of the areas. Near the apartment is very secure,the same neighborhood there are very good French restaurants(highly recommend Le Comptoir de la Gastronomie) area. Apartment small but very clean and tidy,the only problem is at night there are mosquitoes,but as long as a blood type O friends to it as well."
Perfect,101,english,en-en,Perfect
"El apartamento de Claude es perfecto para estar en París y poder vivr como un parisino. Usted puede caminar desde allí al barrio latino, a Notre Dame, pasar por la isla de la Cité y sin esfuerzo podrá llegar al Louvre, el arco del triunfo y la Torre Eiffel. En la esquina esta el Boulevar de Sebastopol y a unos 200 m el centro G. Pompidou. Además Claude es un buen anfitrión y les dará buenos tips para que su visita a la bella ciudad de París sea más placentera.

The Claude's flat is perfect to stay in Paris and to live like a Parisian. You can walk from ther to latin quarter, Notre Dame, Arc de Triunfe, Eiffel tower, Louvre. Just at the corner you have Sebastopol Boulevar and 200 m Centre G. Pompidou. In adition Claude is a great host and I am not lying you if I say he will give you many good tips making your Paris' trip more easy.",1,catalan,es-en,"The apartment of Claude is perfect to be in Paris and be able to live like a parisian. You can walk from there to the Latin quarter, Notre Dame cathedral, pass by the island of the Cité, and without effort you can reach the Louvre, the arc de triomphe and the Eiffel Tower. In the corner is the Boulevard of Sevastopol, and about 200 m to the centre G. Pompidou. In addition, Claude is a good host and give good tips for your visit to the beautiful city of Paris to be more enjoyable.

The Claude''s flat is perfect to stay in Paris and to live like a Parisian. You can walk from ther to latin quarter, Notre Dame, Arc de Triumph, Eiffel tower, Louvre. Just at the corner you have Sevastopol Boulevard and 200 m, Centre G. Pompidou. In beside Claude is a great host and I am not lying to you if I say I will give you many good tips making your Paris' trip more easy."
位置非常好 走路可以到很多景點 樓下很多餐廳 從房子走路600公尺可以到Les Halles直接坐機場地鐵; 房間很小 但我本來就知道 而且我們白天都在外面觀光 只是晚上回來睡覺 所以不造成困擾; Claude很熱心地提供了一些巴黎建議,1,catalan,zh-en,Very good location to walk to many attractions downstairs are many restaurants from the house to walk 600 meters to Les Halles directly take the airport subway; the room was very small but I already know that and we the day outside sightseeing and just come back at night to sleep so not to cause distress; Claude is very enthusiastic to offer some Paris recommendations
Cozy apartment. Great location!,1,english,en-en,Cozy apartment. Great location!
El departamento fue muy confortable y el barrio genial. Todo estuvo perfecto en nuestra estadía en París y esperamos  poder volver pronto y hospedarnos en la casa de Jean-Francois nuevamente.  Gracias a todos.  Familia Arregui.,1,catalan,es-en,The apartment was very comfortable and the neighborhood great. Everything was perfect in our stay in Paris and hope to return soon and stay at the home of Jean-Francois again. Thanks to all of you. Family Arregui.
"Perfect host, perfect appartement, perfect stay!",1,english,en-en,"Perfect host, perfect appartement, perfect stay!"
Perfect!,79,english,en-en,Perfect!
Perfect as usual .)),1,english,en-en,Perfect as usual .))
" Licia 和 Clem是很親切的房東,他們的房子非常乾淨可愛,臥室也很舒服,附近有地鐵站跟公車站,交通非常便捷｡他們住家的社區很安靜單純(復古的電梯對我來說很特別,很喜歡),很安全｡社區斜對面就是超級市場,走路三分鐘可以到巴士底市集｡

抵達巴黎之前,他們給了我很清楚的交通資訊,雖然第一天因為行李延誤的關係,無法準時跟他們碰面,他們還是做好了安排,所以一切都很順利｡ 

Clem也提供了許多巴黎私房景點,非常熱心｡

總體而言我推薦Licia & Clem的房間:)))",1,catalan,zh-en," Licia and Clem is a very friendly landlord,their house is very clean and cute,the bedroom is also very comfortable,near the metro station with the bus station,the traffic is very convenient location. Their homes the community is quiet simple(retro Elevator for me very special,and very favorite),very safe area. Community diagonally across is the supermarket,walk three minutes to the Bastille market area.

Arrived in Paris before,and they gave me very clear traffic information,although the first day because of the delayed baggage to the relationship,not on time with their meeting,they still do the arrangements,so everything went very smoothly as well. 

Clem also provides a number of Parisian private houses attractions,very enthusiastic and great views.

Overall I recommend Licia & Clem's room:)))"
"Licia의 집은 예술적이었다. 인테리어가 좋아  좋은 감각들을 느낄수 있다.
집은 깨끗하고 따뜻했다.
위치는 마레지구와 바스티유 번화가와 가깝고 지하철 역과도 엄청 가깝다.
집주변은 조용해 안락하다.
",1,catalan,ko-en,"Licia's House is artistic. The interior is like the good feeling they feel.
The house is clean and warm.
The location of Marais and Bastille and close to the subway station and incredibly close.
Around the home is quiet comfortable.
"
가격대비 만족스러웠습니다. 건물이 낡았지만 실내는 깔끔한편이고 동네가 아주 조용해서 괜찮았습니다. 저희는 호스트인 Lea를 못봤지만 연락이 바로바로 잘 되어서 전혀 문제가 없었습니다. 무엇보다도 파리여행 가이드가 많은 도움이 되었습니다.,1,catalan,ko-en,"Price. The building is old but interior is neat and the neighborhood is very quiet, I was fine. Our host, Lea, have you seen the rest, but as well that there is absolutely no problem. What's more Paris Travel Guide was very helpful."
Bad communicatiob,1,catalan,en-en,Bad communicatiob
Elle est  super !,1,catalan,fr-en,She is super !
Merci,56,catalan,fr-en,Thank you
Cute apartment!,1,english,en-en,Cute apartment!
"1. 숙소위치
조용한 주택가에 위치하며, 12호선 등 도보 10분 내에 지하철역이 있습니다. 빵, 과일, 고기 등을 살 수 있는 상점과 슈퍼마켓 등이 집근처에 위치하고 있으며, Coin Laundry도 근처에 있어 이용이 편리합니다. 에펠탑까지는 걸어서 약15분 정도 소요됩니다.

2. 숙소시설
사진에서 보는 것과 동일합니다. 2명이 지내기 적합한 공간입니다. 욕실은 작은 편이나 샤워 공간이 별도로 구분되어 있습니다.  주반도 별도로 구분되어있고, 전기레인지와  냉장고, 전자레인지 등이 있습니다. 와아파이 신호가 약하여 실내에서는 이용하기 힘듭니다. 

3. 기타 
비록 여행기간동안 집주인과 만날 기회는 없었습니다만, 우리의 다양한 질문에 바로바로 답을 해주었고 친절했습니다.  ",1,catalan,ko-en,"1. Accommodation for
In a quiet residential location, and 12 lines, etc within 10 minutes walk subway station. Bread, fruit, meat, etc that you can buy shops and supermarkets etc. the house nearby, located in a Coin Laundry near a road in this easy to use. The Eiffel Tower in about 15 minutes.

2. Accommodation and facilities
You see in the photo would be the same. 2 persons, suitable space. The bathroom is small but shower area is separate. The main Peninsula separated, vitroceramic cooker and refrigerator, and microwaves. Like Wi-Fi signal is weak in indoor and in this. 

3. Other 
Although the travel period with the landlord, the opportunity to meet was not there, but our various questions right answer was and friendly. "
"Superbe appartement, Pablo super dispo ! Merci",1,catalan,fr-en,"Superb apartment, Pablo super available ! Thank you"
Super sejour! Merci,1,catalan,fr-en,Super stay! Thank you
"Decoració i ambientació particular. Lloc tranquil, agradable i ben comunicat.",1,catalan,ca-en,"Decor and atmosphere particularly. Quiet place, nice and well communicated."
Esta perfecto,1,catalan,es-en,This perfect
"Appartemment conforme à la description,  tres bien placé. Tres calme. Sandy a été tres disponible,  comme d'habitude. Merci",1,catalan,fr-en,"Appartemment consistent with the description, very well placed. Very quiet and peaceful. Sandy has been very available, as usual. Thank you"
Beautiful apartment. Super location. Excellent host : ),1,english,en-en,Beautiful apartment. Super location. Excellent host : )
El departamento de Thomas es muy cómodo! Super recomendable,1,catalan,es-en,The department of Thomas is very comfortable! Super recommended
Excellent hosts.!,1,english,en-en,Excellent hosts.!
"Chambre très correcte,appartement calme ainsi que les hotes. Je conseille la chambre.",1,catalan,fr-en,"Room very correct,quiet apartment, as well as the breakfast. I advise the chamber."
perfect stay,3,english,en-en,perfect stay
Vale la pena buena ubicacion,1,catalan,es-en,Worth good location
Carole응 정말 친절 합니다. 집 주소는 정확하고 집도 매우 깨끗했습니다. 밤에는 조금 발생을 하였지만 거슬릴 정도는 아니었습니다. 지하철에서는 매우 가깝습니다. 주변환경은 조금 무섭긴 합니다.,1,catalan,ko-en,Carole app is really friendly. Home address are accurate and the house was very clean. At night that little occurrence was not only there to take details. In the subway are very close. The surrounding environment is a bit scary though.
Lugar tranquilo,1,catalan,es-en,Quiet place
"Super appart, super accueil. Merci Charline!",1,catalan,fr-en,"Super apartment, super host. Thank You Charline!"
"Dominique personne sympathique 
Je recommande son studio ",1,catalan,fr-en,"Dominique nice person 
I recommend his studio "
"强烈推荐｡位置很好,交通购物便捷,同时也很安静｡房间非常漂亮,而且干净,生活用品一应俱全｡感谢Carole分享这么优质的房源｡",1,catalan,zh-en,"Highly recommended apartment. Location very good,traffic shopping convenience,but also very quiet area. The room was very nice,and clean,living supplies readily available, and great views. Thanks to Carole share so quality listings available."
"Trobada genial i immillorable, atenció molt bona cuidant tots els detalls per hospedatge. Molt net i amb esmorzar inclós. Restaurants calitat preu genials a la zona. Recomenable 100%",1,catalan,ca-en,"Meeting great and excellent, care very good care of all the details for hosting. Very clean and with breakfast included. Restaurants quality price great in the area. Recommended 100%"
tres sympa,1,catalan,fr-en,very nice
"Excellent location. A lovely, cozy apartment. ",1,english,en-en,"Excellent location. A lovely, cozy apartment. "
"The flat is comfortable, well equipped and clean, linens and towels too. The neighbourhood seemed to be very safe. 
We loved the location. Very close to the Seine river, Latin Quarter as your """"""""backyard', close to 6th district, Ile de la cité. 
There are nearby shops, restaurants and metro stops + many tourist attractions are within walking distance. We were addicted to the Crepes served just around the corner. 
The studio apartment is perfect for a young couple like ourselves. It was exactly as advertised and Sam was a great host. With limited communication we met at the prearranged time. 
He gave us a few insider's tips on restaurants and the one we went to was excellent. The free Wi-Fi came very handy when googling what to do in Paris. 
The small kitchen, fridge and shower offer what they promise, neighbours are friendly and because the studio is in the first floor in the inner courtyard you don't get disturbed by the street noise.
We'd quite happily stay here again

El apartamento es confortable, agradable, bien equipado, con sábanas y toallas limpias también. La cercanía es segura. Nos gustó mucho la localización del piso. Muy cerca del rio de La Seine, detrás del Barrio Latino y cerca del distrito número 6, la Isla de la """"""""Cité"""""""". Tiendas cercanas, restaurantes y estaciones de metro también. Nos comíamos cada día unas """"""""Crepes"""""""" en la esquina de la calle. 
El apartamento es perfecto para una pareja joven como nosotros. Era tal y como la descripción lo decía y Sam es un anfitrión fantástico!! Nos comunicamos poco con él antes, y nos encontramos perfectamente en la hora prevista de llegada. Nos aconsejó varios restaurantes y él que elijimos fue excelente. El wifi gratis fue de mucha ayuda a la hora de buscar lo que se tenía que ver en Paris. 
El estudio es perfecto para no alcanzar un presupuesto en Paris porque esta muy bien situado.
No tuvimos ningún problema con la pequeña cocina, la nevera o la ducha. El barrio es agradable y siendo un primer piso dentro de un patio ajaradinado, el ruido de la calle no molesta en nada.
Volveremos a alquilar este apartamento sin duda.


",1,english,en-en,"The flat is comfortable, well equipped and clean, linens and towels too. The neighbourhood seemed to be very safe. 
We loved the location. Very close to the Seine river, Latin Quarter as your """"""""backyard', close to 6th district, Ile de la cité. 
There are nearby shops, restaurants and metro stops + many tourist attractions are within walking distance. We were addicted to the Crepes served just around the corner. 
The studio apartment is perfect for a young couple like ourselves. It was exactly as advertised and Sam was a great host. With limited communication we met at the prearranged time. 
He gave us a few insider's tips on restaurants and the one we went to was excellent. The free Wi-Fi came very handy when googling what to do in Paris. 
The small kitchen, fridge and shower offer what they promise, neighbours are friendly and because the studio is in the first floor in the inner courtyard you don't get disturbed by the street noise.
We'd quite happily stay here again

El apartamento es confortable, agradable, bien equipado, con sábanas y toallas limpias también. La cercanía es segura. Nos gustó mucho la localización del piso. Muy cerca del rio de La Seine, detrás del Barrio Latino y cerca del distrito número 6, la Isla de la """"""""Cité"""""""". Tiendas cercanas, restaurantes y estaciones de metro también. Nos comíamos cada día unas """"""""Crepes"""""""" en la esquina de la calle. 
El apartamento es perfecto para una pareja joven como nosotros. Era tal y como la descripción lo decía y Sam es un anfitrión fantástico!! Nos comunicamos poco con él antes, y nos encontramos perfectamente en la hora prevista de llegada. Nos aconsejó varios restaurantes y él que elijimos fue excelente. El wifi gratis fue de mucha ayuda a la hora de buscar lo que se tenía que ver en Paris. 
El estudio es perfecto para no alcanzar un presupuesto en Paris porque esta muy bien situado.
No tuvimos ningún problema con la pequeña cocina, la nevera o la ducha. El barrio es agradable y siendo un primer piso dentro de un patio ajaradinado, el ruido de la calle no molesta en nada.
Volveremos a alquilar este apartamento sin duda.


"
Problèmes de bruits nocturnes tant que la fenêtre ne sera pas remplacée.,1,catalan,fr-en,Problems of night noise as the window will not be replaced.
"ห้องพักอยู่ในทำเลที่ดีมาก สะดวก สะอาด ปลอดภัย ห้องสวย
Evelio เป็นมิตรมาก ช่วยเหลือได้ดี มาต้อนรับและมาส่ง ช่วยเรียกแท็กซี่ให้ ทำให้ประทับใจมาก คิดว่าถ้ามาปารีสคงมาพักที่นี่อีกแน่นอน",1,catalan,th-en,"The room is in a great location, convenient, clean, safe room
Evelio very friendly help, good welcome and send help call a taxi to make a very impressive thought if Paris would stay here again."
Des gens formidables ... Bravo et gentil! Appartement très confortable et mignon. Je le recommande vivement!,1,catalan,fr-en,Great people ... Congratulations and nice! Apartment very comfortable and cute. I strongly recommend it!
"Cyril's is a very cozy, immaculate space.",1,english,en-en,"Cyril's is a very cozy, immaculate space."
El depto. Esta perfectamente ubicado. Tiene todo lo necesario y la zona de momartre esta muy buena. Todo funciona de maravilla. Hay lavadero cerca. A 3 cuadras de sacre ceur. Super recomendable!!,1,catalan,es-en,The dept. This perfectly located. Has everything you need and the area of momartre is very good. Everything works great. There is a laundry room close by. 3 blocks from sacre curs. Super recommended!!!!
Magical place,1,english,en-en,Magical place
"excellent accueil, merci !",1,catalan,fr-en,"great hospitality, thank you !"
"L’apartament del Guillaume és (Website hidden by Airbnb) còmode, càlid i amb molt bones conexions de transport. Les vistes són espectaculars i dutxar-se amb elles és al.lucinant. Si vols respirar Montmartre des d’un apartament tradicional parisenc aquest és el teu lloc. A més, el Guillaume és super atent i sempre està localitzable. Ens va deixar moltes recomanacions útils. No el vam poder conèixer en persona però la seva amiga Yolanda era encantadora també. I agraïm la flexibilitat amb el chek-in i el check-out. Repetiríem sens dubte.",1,catalan,ca-en,"The apartment of Guillaume is (Website hidden by Airbnb) comfortable, warm, and with very good connections of transport. The views are spectacular and showering with them is al-boggling. If you want to breathe Paris from an apartment with traditional parisian this is the place for you. In addition, the Guillaume is super attentive and is always traceable. Left us many recommendations useful. Not the we were able to meet in person but her friend Yolanda was lovely also. And we appreciate the flexibility with the chek-in and check-out. Repetiríem without a doubt."
"Estudi olt ben situat, a prop de parada de metro y un barri molt tranquil. És un apartament molt curiós, estrany al principi però divertit a mesura que s'hi viu. Molt net tot",1,catalan,ca-en,"Study olt well located, close to metro stop and the neighborhood very quiet. Apartment is a very curious, strange at first but fun as you are alive. Very clean throughout"
Quartier très très sympa,1,catalan,fr-en,Quite neighborhood very nice
Charmante petite chambre  et très  chouette accueil. A recommander,1,catalan,fr-en,"Small, charming room and very nice host. Has recommend"
Perfectly cozy Apartment!,1,english,en-en,Perfectly cozy Apartment!
Excellent!,38,english,en-en,Excellent!
"L'apartament era tal qual estava descrit. L'Angie molt atenta, contestava ràpidament els missatges amb qualsevol dubte.",1,catalan,ca-en,"The apartment was as it was described. The Angie very attentive, answered quickly to messages with any questions."
"J'ai aimée rester chez Antonella!
La chambre est trés grande! Et Antonella est trés agréable e gentil!",1,catalan,fr-en,"I loved staying at Antonella!
The room is very large! And Antonella is very nice e nice!"
"A 5 minutes d'opéra, chambre très agréable. A recommander.",1,catalan,fr-en,"5 minutes to opera house, very pleasant room. Has recommend."
"Nos hemos sentido muy a gusto.
La descripcion del lugar a sido la correcta. Su ubicacion fantastica.",1,catalan,es-en,"We felt very comfortable.
The description of the place to the right. The location is fantastic."
Perfect! Excellent! Marie-Laure is very attentive.,1,english,en-en,Perfect! Excellent! Marie-Laure is very attentive.
"El piso es como se presenta en fotos. Ideal para una pareja. 
Barrio Marais. Cerca de bares. Pubs. Buena vida nocturna. 
Cercano a Museo Pompidou. Calle Rivili. Metro.  Isla de la Cité. 
Recomiendo ampliamente a Gilles. 
Sin dudas volvería a hospedarme ",1,catalan,es-en,"The apartment is as presented in photos. Ideal for a couple. 
Marais District. Close to bars. Pubs. Good night life. 
Close to Pompidou Museum. Street Rivili. Metro. Island of the Cité. 
Highly recommend it to Gilles. 
Without doubt would stay "
Tres sympa!,1,catalan,fr-en,Very nice!
Perfect!!!!,4,english,en-en,Perfect!!!!
L'esperienza è stata positiva. Tempestività e cortesia.,1,catalan,it-en,The experience has been positive. Promptness and courtesy.
C'est super!,1,catalan,en-en,C'est super!
PERFECT,3,english,en-en,PERFECT
"Very nice little apartment, AMAZING LOCATION!",1,english,en-en,"Very nice little apartment, AMAZING LOCATION!"
Super adresse. A proximite de la Bastille ou de Bercy. Son hôte est très accueillante. Je recommande,1,catalan,fr-en,"Super address. Near the Bastille, and Bercy. Its host is very welcoming. I recommend"
"民宿位于一个非常有活力的街区,交通方便,周边治安感觉也不错｡这里可以乘地铁在半个小时左右抵达卢浮宫､奥赛博物馆,巴黎圣母院的距离更近,天气好甚至值得步行前往｡在民宿周边吃早餐晚餐会比香榭丽舍大道､卢浮宫一带的餐馆更加美味地道,热情的老板Carole可以给你提供很详细的周边餐馆的情报,其中部分餐馆非常有名,最好提前预定｡该民宿的主要问题是天花板很低(隔音不好)且唯一的窗户很小,有时可能会给部分租客压抑的感觉｡从街道通向民宿的里弄给我印象深刻,真有一种曲径通幽的感觉｡以后再来巴黎的话,依然会考虑在巴士底这一带选择住宿｡",1,catalan,zh-en,"B & B is located in a very vibrant neighborhoods,convenient transportation,perimeter security feeling is also good as well. Here you can take the metro in about half an hour to arrive to the Louvre, and the Orsay Museum,the Notre Dame closer,the weather is good or even worth the walk to the House. In house surrounding eating Breakfast for dinner than the Champs Elysees, and the Louvre along the restaurants more delicious and authentic,enthusiastic owner Carole can give you great detail of the surrounding restaurants information,wherein the portion of the restaurant is very famous,it is best to book in advance as well. The B & B the main problem is the ceiling is very low(insulation is bad)and the only Windows are small,sometimes may be to the part of the tenant pent-up feeling. From the street leading to the House of the lane to the I'm impressed,really there's a winding feeling. And then later to Paris,still consider in the Bastille in this area choose to stay home."
"Appartamento molto carino. Pulito e con tutto il necessario. Posizione strategica, a due passi dal Centre Pompidou e a 5 minuti da Notre Dame.
Consigliato.",1,catalan,it-en,"Apartment very cute. Clean and with everything you need. Convenient location, two steps from the Centre Pompidou and 5 minutes from Notre Dame.
Recommended."
"일단 위치가 에펠탑에서 가까웠어요. 한 5분,10분 걸어가면 에펠탑이 나왔어요. 숙소는 주택가에 있어서 매우 조용했고, 주변에는 마트나 식당같은 가게들이 많아서 되게 편리했습니다. 집도 사진에서 보이는 그대로 였고, 집이 깔끔하게 정리되어 있어서 좋았습니다. 소품 하나 하나가 모두 예뻤어요. 호스트인 Martine도 계속 여행 정보를 알려주면서 굉장히 친절했습니다. ",1,catalan,ko-en,"Once the location of the Eiffel Tower in the close. For 5 minutes,10 minutes walk to the Eiffel Tower. The hostel is in a residential and very quiet, around the Marina or restaurant such as they Many be convenient. The house looks in the photo as it was, the house neatly organized. Props one by one all pretty. Host Martine road and continue your journey to the very friendly and helpful. "
"La nostra estada a París, a casa de la Benedicte, ha estat impresionant, molt agradable i fàcil arribar amb les meves dos nenes, de 5 i 1 any, a un apartament amb tantes disfresses i joguines, doncs les petites es relaxaven a l'arribar com si arribessin a casa seva, tot un plan!
",1,catalan,ca-en,"Our stay in Paris, home of the Benedicte, has been awesome, very pleasant and easy to reach with my two girls, 5 and 1 year, in an apartment with so many costumes and toys, so the small ones are relaxaven to arrive as if they came to your house, it's all a plan!
"
Excellent host...5star,1,english,en-en,Excellent host...5star
"La Zona es perfecta. Céntrica y barrio de tiendas. Supermercado a 50 metros. La casa es súper cómoda y esta 100% equipada (lava vajillas, lavadora, nesspreso, etc.). El edificio es ideal, el anfitrión 10/10. La casa totalmente funcional! La cama y sillones cama, súper cómodos. RECOMENDADO 100% !!!",1,catalan,es-en,"The Area is perfect. Central and district stores. Supermarket at 50 meters. The house is super comfortable and 100% equipped (dishwasher, washing machine, nesspreso, etc). The building is great, the host 10/10. The house fully functional! The bed and sofa bed, super comfortable. RECOMMENDED 100% !!!"
Alles perfekt!,4,catalan,de-en,Everything is perfect!
Just perfect,12,english,en-en,Just perfect
