comments,N,lang
Ottima posizione e proprietari ospitali,1,bosnian
Bilo je sve super osim male zamjerke a to je slabiji pritisak vode u tušu a to je ipak radi 6.kata,1,bosnian
Dobra lokacija,1,bosnian
djelloulはﾁｪｯｸｲﾝ前からﾁｪｯｸｱｳﾄまで､ﾚｽﾎﾟﾝｽが速く丁寧で急な予約にもすぐに対応してくれました｡部屋はきれいで過ごしやすく､現地に住んでいるような生活が出来ました｡PS4があるのも魅力的でした｡djelloulはとても気さくで優しく信頼できる方です｡ﾍﾞｯﾄﾞﾙｰﾑがお気に入りでした!家の前にあるｶﾌｪのﾊﾝﾊﾞｰｶﾞｰも美味しかった!ありがとう,1,bosnian
"房東相當Nice,房源離地鐵及單車租賃非常近,附近治安很好,吃東西很方便,家裡還有一隻可愛的法國鬥牛犬歡迎你,值得推薦的房源~",1,bosnian
Buona posizione,1,bosnian
positive,1,english
Odličan smještaj; divno uredjen; izuzetno sigurnosno dobro lociran stan; vlasnica odlična na raspolaganju ;,1,bosnian
Good place nice ppl!,1,english
Nice one.,1,english
Stan je ugodan i sladak. Prava mjera za romantican vikend. Martin je domacin za svaku preporuku.,1,bosnian
Nice location.  Clean.  Good prise.  I like it,1,english
Proima,1,bosnian
"Smještaj kod Paule ima francuskog štiha. Vrlo je ugodan i profinjen.
Nama je sve odgovaralo. Paule je vrlo ljubazna i susretljiva, sa hrpom turističkih materijala koje nam je ustupila. 
Metro, autobusna stanica, mini market i kafići su vrlo blizu. Kada bi ponovo bili u Parizu odabrali bi upravo to.",1,bosnian
"Ottima posizione, dimensioni generose e ben arredato, impeccabile",1,bosnian
good service,1,english
Good Place.,1,english
"Lokacija je ok, podzemna je blizu I lako se može doći do svih dijelova grada.",1,bosnian
"Nice room,good girl~",1,english
"Daddy je simpatican decko koji nezna pricat engleski, ali se trudi. wc mu smrdi po amonijaku, i nema wc papra, ali sve ostalo je u redu. Posteljina i rucnici cisti, wifi radi, ali potrebno je pripaziti da na ulazu u zgradu ne nagazite na čovijeka koji spava ispred ulaza prekriven tepihom .",1,bosnian
buona posizione,1,bosnian
"Izvrstan, novi hostel u centru Pariza. Javni prijevoz pristupačan. Čisto, uredno, domaćini izlaze u susret.",1,bosnian
Good places. Small rooms. But good price.,1,english
"good place!!!! 
",1,english
"너무 좋았습니다.
청결,위치등등 뭐 하나 빠질께 없네요",1,bosnian
ottima posizione negozi sotto casa,1,bosnian
"Brice很友好,住宿时间灵活",1,bosnian
So good.,2,english
여기는 지하철역도 가깝고 마트와도 가까워서 모든것이 편리하다. 그리고 대부분의 관광지와 지하철로 짧게 이동할 수 있다. 숙소도 아늑하고 편했고 무엇보다도 Steve가 무척 친절했다.,1,bosnian
Buona posizione.,1,bosnian
positivo,1,bosnian
Luogo sublime.,1,bosnian
Posizione eccezionale! Da provare.,1,bosnian
"非常適合一人旅行,員工非常Nice,離地鐵站又很近,很喜歡",2,bosnian
"公寓的地理位置很棒,靠近地铁站,也靠近蒙帕纳斯大厦,楼下有许多餐厅和bar,但是环境依然很安静｡房子内设施和物品也很齐全,很干净,就是吹风机不太好用｡会推荐给朋友｡",1,bosnian
nada,1,bosnian
Value to price.,1,english
Čista i novouređena soba sa doručkom u hotelu. Dobra lokacija.,1,bosnian
Solidan smjestaj za prespavati nekoliko noci. Lokacija također dobra s obzirom na velicinu grada,1,bosnian
i,2,bosnian
Good service,2,english
Prima verblijf,1,bosnian
Localizaçao otima preço alto,1,bosnian
Boravak u Parizu nam je bio fenomenalan! Sa apartmanom smo odusevljeni! Na dobroj je lokaciji! Topla preporuka!,1,bosnian
"Dobra lokacija uz sve potrebno za prezivljavanje prilikom istrazivanja Pariza. Los krevet i nedostatak zabavnih sadrzaja (tv). Znaci, stan je super  za kolko tolko se naspavat, prespavat noc i nesto pojest. Ako ste prvi put u Parizu i vise nego dovoljno.",1,bosnian
Prima!,1,bosnian
집앞에 bar가 많고 슈퍼가 있어서 좋았다. 숙소는 진짜 깨끗했다. 호스트가 썰명츙이셨다. 세탁기 냉장고 있다했는데 우리가 떠날때가 되어서야 가져왔다. 그래도 친절하셨음. 화장실좋음. 앞집이 밤에 시끄럽게했다. 그거빼면 다굳~,1,bosnian
Sin ningún problema.,1,bosnian
"Odlična lokacija, pogotovo za mlade, s mnogo restorana i mjesta za izlazak u neposrednoj blizini apartmana. Smještaj u staroj pariškoj zgradi poseban je doživljaj,  samo što pogled kroz prozor nije očaravajući.  Apartman je vrlo čist, a vlasnica je izuzetno susretljiva i draga osoba.",1,bosnian
good place.,1,english
"在这家民宿住的非常舒服!
对面是地铁5号线,走几分钟是地铁1号线,巴黎挺小的,靠地铁可以玩转市区,住这里完全够了｡
家里什么都有,洗衣机,洗衣液,熨斗,吹风机,咖啡机,微波炉,冰箱,雨伞……甚至各种厨具,灶台……我和我的小伙伴还在这里做饭了｡每周四每周日,民宿门口就是巴士底集市,有非常本土化的小吃和食材,如果想体验当地生活一定不要错过｡
床也非常软,是真的软,累了一天躺倒床上非常有幸福感｡
来之前还担心过安全问题,来之后觉得这间民宿位置比较幽静,在我入住期间,没有发生任何不愉快的事情｡
房东似乎不在巴黎,把房门钥匙交给了一个机构,房客需要和这个机构的工作人员对接,刚好和我们对接的是一个中国留学生,入住完全无障碍!

如果还来巴黎,我很有可能还会住这里,唯一感到困扰的是,入住时间比较严格,也无法提前来安置行李｡但似乎巴黎民宿都是这样的｡这个房子有个超大的落地窗,但是落地窗上疑似锁坏了,好在有个卷帘门,但还是存在一定的安全隐患,不确定这个卷帘门能不能从外面打开｡如果要预定,可以提前跟房东确认落地窗锁的问题｡

如果满分100分,个人体验可以给这家民宿打上80分!
感谢房东eric!",1,bosnian
good place!,1,english
good.place,1,english
"地理位置好到不行,非常方便,一边是超适合年轻人逛的时髦街区,很多设计师小店,另外一点是蓬皮杜艺术馆,房东也很超级 nice,非常热心和细心,唯一就临街有点吵",1,bosnian
"Stan je na odličnom mjestu, okrenut prema vrtu. Tih je, a zgrada i susjedi odlični. Ima dobrih restorančića, odlična tržnica, izvanredna peraka . slastičarnica. Za 3 minute ste u metrou. Trebali bi biti spremni na ne baš visoku razinu čistoće, na lošu posteljinu, spavaću sobu bez prozora. Sa sobom ponesite kavu bar za prvo jutro, bočicu alkohola za dezinfekciju. bočicu vode ako ne pijete vodu iz slavine.",1,bosnian
"Ottima posizione, massima disponibilità",1,bosnian
"otimo posto, ottima posizione!",1,bosnian
"Ottima posizione, casa spaziosa,",1,bosnian
Posizione,1,bosnian
Ottima ospitalità!,1,bosnian
"pierre一家人非常的热情好客,cecile每天早晨会准备早餐果汁和咖啡,会和我聊天,像回到家一样,他们家还有一只特别可爱的猫咪mojito,他是特别好的伙伴,下次来巴黎希望我有机会继续住他们家,谢谢这一周的招待｡^ω^",1,bosnian
Ottima zona e ottimo monolocale,1,bosnian
ottima posizione.  negozi a pochissima distanza.,1,bosnian
"Good place, good price!",1,english
"Denis je izuzetno ljubazan domaćin. Dočekao nas je i dao nam osnovna uputstva o tome kako stići do glavnih atrakcija. Apartman je upravo onakav kako je opisan na sajtu, vrlo povoljan s obzirom da ima posebnu spavaću sobu. Metro 12 je odmah preko puta, kao i samoposluga, a metro 4 u blizini, tako da je odlična veza do bilo kog kraja Pariza.
Apartman je na 6 katu bez lifta, i to treba imati u vidu za goste koji se teško penju ili imaju puno prtljaga.",1,bosnian
"Smještaj dobar, lokacija super. Ana je jako pristupačna i komunkkativna. Išla je u susret s nama iako smo malo kasnili. Mirna četvrt.",1,bosnian
"房東人非常Nice,是一個愛狗人士｡公寓是一個大空間廚房跟衛浴分開,風格獨特｡廚房配備齊全,房東還提供礦泉水及咖啡和茶葉｡離地鐵站近,附近超市､餐廳選擇多樣｡是一個很棒的居住地點,安全､舒適｡下次再來巴黎,我還是會選擇住在這兒｡",1,bosnian
Ottima posizione e pulizia,1,bosnian
"非常好的一次入住体验,房东人很nice. 家周围有餐厅和超市,非常方便｡",1,bosnian
See previous☺️,1,english
"我们在夏天最热的时候来到了这里,房间小小的,只有一面窗,没有对流的空气,所以真的是非常非常的热｡除了没有缓解高温的空调和风扇其它东西还是很齐全的,但是主人可能离开时很匆忙,所以只是把床单被罩什么的堆在一起并没有整理好;而且也没有准备好诸如厕纸,洗手液,洗洁精,食盐等东西;还在我们仍然租住的过程中回来拿过东西｡房子的位置挺好的,周围有公交车,地铁和夜班车;街口有超市和披萨店;离共和国广场和运河也不远｡感谢房东让我们住了那么久,让我们可以有一个亲近巴黎的base.",1,bosnian
非常nice的房间. 很有品味. 房东人很nice.,1,bosnian
Apartman za dvije osobe.Lokacija odlična.,1,bosnian
Ottima sistemazione,1,bosnian
Ottima posizione. Ok per brevi periodi,1,bosnian
Bellissima posizione,1,bosnian
So nice.,1,english
"房东很 nice,房子的地点很方便,房子里面也很好,尤其喜欢金色的电梯",1,bosnian
"如果你是关注性价比的话,这是很棒的房子｡很好的房东,很漂亮的,会帮我们拿行李｡人很nice.",1,bosnian
"굉장히 만족했습니다!
처음에는 걱정도 했으나 굉장히 private하고 전망도 최고였습니다
다음에 파리에 가면 또 이 숙소에 머물고 싶네요",1,bosnian
"Fatima 的房子非常适合2到3人在巴黎居住,交通非常便利｡和父母在巴黎期间因为有它,更加舒适｡下次再来巴黎希望还能回来｡",1,bosnian
Jako udoban mali stan. Ljubazan domacin koji ima puno strpljenja za svoje goste(hvala jos jednom na čekanju)super lokacija!! Moj prvi boravak u Parizu prosao odlicno!! Hvala Antony!! Merci beaucoup....,1,bosnian
"Veľmi dobrá lokalita, blízko Arc de Triomphe. Výhoda, že celý byt/domček máte pre seba. Nevýhoda je, že jedna veľká izba je v suteréne bez okien a vetrania.",1,bosnian
"Nice place, good host",1,english
"房子很大,性价比很高,能直接从窗子看到艾弗尔铁塔,周围生活设施都很便利｡Malika人非常nice, 如果还有下一次,我还会选择再住这里:)",1,bosnian
"Good price, good location.",1,english
"Good place, good value",1,english
"Nice little place, good price! ",1,english
마레지구 merci 근처에 위치해있고 지하철 역 까지는 7분 버스정류장까지는 2분정도 걸립니다.  딱 두명이 묶기에 좋은 크기입니다 키친이 잘 되어있고 샤워실 화장실 따로 있어요 창이 여러개라서 좋았습니다. 다만 청소가 그다지 깨끗하게 되어있지 않았는데 집의 문제라기보단 하우스키핑 업체의 문제같았어요. 그 부분만 빼면 만족스러운 숙소였습니다,1,bosnian
"Odlična lokacija, neposredna blizina stanice metro i trgovina. Prostran, moderno opremljen stan. Komunikacija s domaćinima brza i jednostavna. Odlična pogodnost-siguran parking za auto.Svakako preporucam ovaj stan za ugodan boravak u Parizu. ",1,bosnian
"Otimo lugar, otima localizacao.",1,bosnian
Un posto incantevole. Bravi!,1,bosnian
Prima verblijf!,1,bosnian
Posizione ottima!,1,bosnian
"Smještaj je nov, jako lijep i prostran. Domaćini su ugodni i vrlo prostojni. Gosti trebaju biti svijesni da je krov stakleni. Ukoliko nekom smeta poveća količina svijetla koja probila do kreveta, u smještaju se nude i maske za spavanje.",1,bosnian
Good price/value ratio,1,english
