comments,N,lang,en-en,comments
개선문과의 거리가 가까워 걸어다녀도 될 정도였습니다. 근방에  큰 마트가 있어 필요한 것들을 쉽게 구입할 수있었습니다. 방은 물론 너무 깨끗했고 주인인 Patrice역시 너무 친절하였습니다,1,bosnian,ko-en,"Arc far to walk. she also be. Hotels near Big have the necessary things can be purchased easily. The room is of course too was very clean and the owner, Patrice too friendly."
"位置很好找,交通方便｡房子是老式的,家具有点古董的感觉｡房东很热情,也很nice. 缺点是靠街,早上略有点吵",1,bosnian,zh-en,"Location very good,traffic convenient location. The house is old,the furniture a little antique feeling. The landlord is very enthusiastic,also very nice. The disadvantage is against the street,the morning slightly a little noisy"
"地理位置佳,環境整潔,廚房配備齊全,房東人很nice.",1,bosnian,en-en,"地理位置佳,環境整潔,廚房配備齊全,房東人很nice."
Ottima posizione.Stanza principale molto confortevole.,1,bosnian,it-en,Great location.The main room is very comfortable.
Ottima posizione.,2,bosnian,it-en,Great location.
"남프랑스 여행전에 며칠 머문 파리의 숙소. 올해는 남프랑스를 경유하는 짧은 일정으로 머문 파리. 그동안 나름 여러종류의 숙소를 이용해 보았는데 가성비가 좋은 숙소로 생각되어던 곳.
무엇보다 위치가 마음에 들었던곳. 오페라에서 걸어도 15분정도 (공항에서 Roissy Bus를 이용하여 시내로 들어갈 경우 Opera 에서 Metro를 이용하기보다 캐리어끌고 걸어도 다닐만한 거리에 위치) 그리고 중심가에서 들고날기가 쉽고, 이곳저곳을 다닐때 Bus stop위치가 good!, 몽마르트는걸어가도,,,
파리 특유의 허접해 보이는 건물외관에 비하여 실내가 새로 renovation 하여 깨끗하고, 무엇보다 안전한 위치, 거주환경이었던 곳. 
두,세명정도의 파리를 여행한다면 추천해드리고 싶은 숙소중 하나입니다.",1,bosnian,ko-en,"South France trip in a few days stay in Paris. This year, the South of France via a short schedule as Paris. In the meantime I name several kinds of accommodations available was very close to the hotel stay and thought the place was.
What's more for were here. In Opera within 15 minutes (from the airport Roissy Bus to the city using the go into if in Opera Metro use more than the carrier-led and walk around, but on the street location) and from the center, holding a day is easy, and moved back when Bus stop locations are good!, Montmartre is black,,,
Paris unique of this building exterior compared to Interior new renovation is nice and clean and, above all, secure the location, living environment was. 
Two,three clear of Paris travel for want to do during your stay."
"merci 바로 위에  위치한 숙소는
마레지구를  여행하기에  너무  좋은 위치에  있어요
그리고  숙소도  너무  마음에  들고
  문제가  있을때  남편이 바로  달려와서  
해결  해주셔서  좋았어요

다음에 다시 가고픈  숙소입니다
다시 한번  감사해요  안녕 비앙카",1,bosnian,ko-en,"merci bar located in the hostel
Mare not to travel too in a good position.
And stay, too mind holding on to
There is a problem when my husband and 
Addressed in it was good.

Then go back and open a hostel.
Once again thank you. hi Bianca"
Ottima,2,bosnian,it-en,Excellent
"Ubytovani v Notre Dame Romantique bylo velmi prijemne, byt je vkusne zrenovovan a zarizen, je z nej zaroven citit kus historie, jak by take ne, kdyz se nachazi v jedne z nejstarsich casti Parize. Bydleli jsme ve 4, my a nase 2 deti (6,4) a i ony se citily v byte velmi dobre. Vetsinu casu jsme travili venku, takze jsme prilis nevyuzili zarizeni, ale v byte je vse, co je treba pro vareni, prip. prani apod. Vybaveni je skvele a nove. Vse je dokonale ciste. Luxusni je samotne umisteni bytu, 3 min od Notre Dame. Alain a Dora jsou nesmirne prijemny par, ac jsme se videli pouze jednou, navazali jsme velmi prijemnou komunikaci. Byt je sice v centru Parize, jedna se vsak o naprosto tiche misto, je to uzka ulicka, takze provoz je minimalni. V lete se bezesporu jedna o dokonale utociste pred vedrem, nebot byt je situovan v prizemi a ma prijemny vyhled do dvora parizskeho domu. Doporucujeme!",1,bosnian,cs-en,"Holiday rentals in Notre Dame Romantique was very touchable, the apartment is vkusne zrenovovan and zarizen, it is from him I feel a piece of history, how would take not if is located in one of the nejstarsich part of Parize. We stayed in the 4, we and our 2 kids (6,4) and they citily in byte very well. To use the time we travili outside, so we too nevyuzili device, but in a byte is all that is needed for cooking, prip. behalf, etc. provided with it is great and new. Everything is perfectly clean. Luxusni is the location of the apartment, 3 min from Notre Dame. Alain and Dora are them clean, vapour, ac we met him only once, navazali we have very nice communication. The apartment is in the heart of Parize, one, however, is a completely tiche place, it's uzka every street, so traffic is minumum. In the summer is undoubtedly one of the perfectly utociste before the heat, because the apartment is situovan in the first floor and the ma clean outlook to the courtyard parizskeho house. We strongly recommend!"
"Ugodan smještaj, odlična lokacija ( podzemna żeljeznica, trgovina, pekara).
Nadam se da ćemo jednom ponovno doći u Lucyn dom.",1,bosnian,hr-en,"Comfortable rooms, great location ( metro żeljeznica, shops, bakeries).
I hope we'll come again someday in Lucyn home."
Ottima posizione,7,bosnian,it-en,Great location
"Geneviève Boizard是非常友好和善良的｡
她总是帮助我们｡让我们的旅行更美好｡
船是非常浪漫的,有三个可爱的宠物｡
非常感谢你.我们期待下一次巴黎旅行｡",1,bosnian,zh-en,"Geneviève Boizard is a very friendly and kind.
She always helps us as well. Let's travel to a better area.
The ship is very romantic,have three lovely pet home.
Thank you very much. We look forward to the next Paris trip as well."
"Good place, good host.",1,english,en-en,"Good place, good host."
poca privacidad,1,bosnian,es-en,little privacy
)good place,1,english,en-en,)good place
"Domaćin je uvijek bio dostupan za sve naše upite. U direktnom kontaktu riješili smo sva pitanja i eventualne nedoumice. Budući da je stan smješten u samom centru Pariza, uštedjeli smo vrijeme putovanja i bili u mogućnosti pješke obići sve znamenitosti i ostale željene lokacije.",1,bosnian,hr-en,"The owner was always available for all our queries. In the direct contact we have to decide all questions and possible problems. Since the apartment is located in the heart of Paris, save time we were able to walk to visit all the attractions and other necessary places."
"Tamaño justito, pero bien ubicado.",1,bosnian,es-en,"Size justito, but well located."
"Manu je izvrstan domaćin koji  izlazi u susret svojim gostima.
Stan je zgodan i na izvrsnoj lokaciji i savršeno je opisan u oglasu.",1,bosnian,hr-en,"Manu was a great host, who came out to meet their guests.
The apartment is comfortable and in a great location and is as described in the ad."
"bardzo dobra lokalizacja, okolo 20 minut na Montmartre, 30 min do Louvre. Duzo knajpek, okolica tetniaca zyciem:)  stacja metra chyba 2 min od mieszkania.",1,bosnian,pl-en,"very good location, about 20 minutes to Montmartre, 30 min to the Louvre Museum. A lot of dives, district tetniaca life:) metro station is probably 2 minutes from the apartment."
"Impeccable, je recommande.",1,bosnian,fr-en,"Flawless, I recommend it."
Posizione ottima vicino metro Palazzo sicuro,1,bosnian,it-en,Great location close to metro and safe Building
"房东,性格很好很赞｡
住的地方为15区原来的富人区,安全､方便､很安静,楼下还有一家不错的法餐&bar,房东真心的不错宝贝,做饭生活之类的完全可以像在家一样的感受屋里有暖气､很温暖,来法国住在这里去哪里坐地铁都很方便,很近啊其实走路去商场､巴黎塔都很方便,快捷感谢房东hh",1,bosnian,zh-en,"The landlord,the character is very good nice night.
Hold place for 15 area original rich area,safe, and convenient, and very quiet,downstairs there is a nice French cuisine&bar,the landlord is really nice baby,Cook life like completely be like at home feel the House has heating and is very warm,come to France with a stay in here where taking the subway is very convenient,very close to the Ah actually walk to the Mall, and Paris towers are very convenient and fast thanks to the landlord of the hh"
房东很nice｡jazz很怕生 但是很可爱!,1,bosnian,en-en,房东很nice｡jazz很怕生 但是很可爱!
"Solid value, good location.",1,english,en-en,"Solid value, good location."
"good place, good price, good host! :)",1,english,en-en,"good place, good price, good host! :)"
"Good place, good service",1,english,en-en,"Good place, good service"
"Tutto a posto ,  ottima posizione",1,bosnian,it-en,"Everything in place , great location"
"Dobra lokacija, miran kvart, jako loša internet konekcija, dobra komunikacija sa domaćinom, u skladu sa cijenom.",1,bosnian,hr-en,"Good location, quiet area, very poor Internet connection, good communication with staff, in accordance with the price."
Good price,1,english,en-en,Good price
No souci,1,bosnian,en-en,No souci
"nice,",1,english,en-en,"nice,"
"nice place, nice host. ",1,english,en-en,"nice place, nice host. "
"房間很舒適,ludovic人也很好,又很热情｡遇到事情非常及时的给予了帮助｡楼下就是地铁和公交车站,出行十分方便｡很棒的体验",1,bosnian,zh-en,"The room was very comfortable,ludovic who is also very good,and very enthusiastic house. Experiencing things is very timely given the help available. Downstairs is the subway and bus station,travel is very convenient location. A great experience"
"非常好的位置,就在先贤祠后面,周围有不错的餐厅｡房东非常Nice,我们向她询问推荐餐厅,她会写好纸条第二天放在门口｡另外房间很舒适,厨房很好用,一切都很棒!如果硬要说,唯一一点就是房间隔音效果不太好,多人住要考虑,一家人就无所谓啦｡",1,bosnian,zh-en,"Very good location,just earlier Yin Temple back,around there are good restaurant and great views. The landlord is very Nice,we asked her about restaurant recommendations,she will write a note the next day placed in the doorway area. In addition the room was comfortable,kitchen great,everything is great! If hard to say,the only thing is the room sound insulation effect is not very good,many people live to consider,a family it doesn't matter area."
"super, je recommande",1,bosnian,fr-en,"super, I recommend"
Posizione ottima!!,1,bosnian,it-en,Great location!!
Stan je na super lokaciji za istrazivanje Pariza. Okolica je puna barova i restorana dok je sama ulica mirna i tiha. Stan je mali ali šarmantan te čist i uredan. Jedini problem mogao bi biti uske stepenice do 5 kata pa ne uzimajte velike kofere. :) Hvala Charles,1,bosnian,hr-en,"The apartment is in a great location to explore Paris. Near plenty of bars and restaurants, while the street itself is calm and quiet. The apartment was small but charming and clean and tidy. The only problem can be the narrow stairs to the 5th floor, so do not take large suitcases. :) Thanks, Charles"
Ottima posizione e ottima vista!,1,bosnian,it-en,Great location and great view!
Super mjesto i ljubazna domacica,1,bosnian,hr-en,Super place and kind domacica
"房东先生人非常Nice,订单确认迅速,回复贴心周到,还会打电话叮嘱,屋子干净,设施齐全,很好的入住体验,谢谢",1,bosnian,zh-en,"Mr. Landlord people are very Nice,order confirmation,reply to the thoughtful,but also a call urging,the room clean,well equipped,great stay,thank you"
"nice place, good localization!:)",1,english,en-en,"nice place, good localization!:)"
Ottima posizione e proprietari ospitali,1,bosnian,it-en,Great location and owners very hospitable
Bilo je sve super osim male zamjerke a to je slabiji pritisak vode u tušu a to je ipak radi 6.kata,1,bosnian,hr-en,"It works great except a little reproach and it is weaker, the water pressure and whether it is still open 6.floor"
Dobra lokacija,1,bosnian,hr-en,Good location
djelloulはﾁｪｯｸｲﾝ前からﾁｪｯｸｱｳﾄまで､ﾚｽﾎﾟﾝｽが速く丁寧で急な予約にもすぐに対応してくれました｡部屋はきれいで過ごしやすく､現地に住んでいるような生活が出来ました｡PS4があるのも魅力的でした｡djelloulはとても気さくで優しく信頼できる方です｡ﾍﾞｯﾄﾞﾙｰﾑがお気に入りでした!家の前にあるｶﾌｪのﾊﾝﾊﾞｰｶﾞｰも美味しかった!ありがとう,1,bosnian,ja-en,"djelloul is the check list and in the meantime I am using I love this app before the ban list and in the meantime I am using custom up the tags on it, and casts points I don't understand how to pack and make fast carefully at a steep booking they respond immediately to it. The rooms are clean comfortable and offers its local living in like living in it. The PS4 is also attractive in the US. djelloul is very friendly, but reliable way possible. Suddenly I was then told that behaves maybe tie your favorite was! Of the house before I pump loads of bread and push bread warrior K Warrior was delicious as well! Thank you"
"房東相當Nice,房源離地鐵及單車租賃非常近,附近治安很好,吃東西很方便,家裡還有一隻可愛的法國鬥牛犬歡迎你,值得推薦的房源~",1,bosnian,zh-en,"The landlord is quite Nice,listings from Metro and bike rental very close,near the security is good,eating is very convenient,at home there is also a cute French bulldog welcome to you,recommended listings~"
Buona posizione,1,bosnian,it-en,Good location
positive,1,english,en-en,positive
Odličan smještaj; divno uredjen; izuzetno sigurnosno dobro lociran stan; vlasnica odlična na raspolaganju ;,1,bosnian,hr-en,Great accommodation; lovely Islands; the reserve is extremely well located apartment; the hostess is excellent available ;
Good place nice ppl!,1,english,en-en,Good place nice ppl!
Nice one.,1,english,en-en,Nice one.
Stan je ugodan i sladak. Prava mjera za romantican vikend. Martin je domacin za svaku preporuku.,1,bosnian,hr-en,The apartment was lovely and sweet. The right measures for a romantic weekend. Martin the owner for each recommendation.
Nice location.  Clean.  Good prise.  I like it,1,english,en-en,Nice location.  Clean.  Good prise.  I like it
Proima,1,bosnian,en-en,Proima
"Smještaj kod Paule ima francuskog štiha. Vrlo je ugodan i profinjen.
Nama je sve odgovaralo. Paule je vrlo ljubazna i susretljiva, sa hrpom turističkih materijala koje nam je ustupila. 
Metro, autobusna stanica, mini market i kafići su vrlo blizu. Kada bi ponovo bili u Parizu odabrali bi upravo to.",1,bosnian,hr-en,"Housing Paule is the French bribes. Very nice and sophisticated.
We were all happy. Paule is very friendly and far, with lots of tourist materials that we lost. 
Metro, bus stop, mini market and cafes are very close. If I was back in Paris would have chosen it."
"Ottima posizione, dimensioni generose e ben arredato, impeccabile",1,bosnian,it-en,"Great location, generous in size and well furnished, impeccable"
good service,1,english,en-en,good service
Good Place.,1,english,en-en,Good Place.
"Lokacija je ok, podzemna je blizu I lako se može doći do svih dijelova grada.",1,bosnian,hr-en,"The location was good, subway close And easy to reach all parts of the city."
"Nice room,good girl~",1,english,en-en,"Nice room,good girl~"
"Daddy je simpatican decko koji nezna pricat engleski, ali se trudi. wc mu smrdi po amonijaku, i nema wc papra, ali sve ostalo je u redu. Posteljina i rucnici cisti, wifi radi, ali potrebno je pripaziti da na ulazu u zgradu ne nagazite na čovijeka koji spava ispred ulaza prekriven tepihom .",1,bosnian,hr-en,"Dad simpatican guy who doesn't know pricat English, but I try. toilet he stinks at amonijaku, and there is no toilet pepper, but everything else is fine. Linens and napkins) is clean, wifi works, but care must be taken at the entrance to the building is not nagazite on čovijeka who sleeps at the entrance, covered with carpets ."
buona posizione,1,bosnian,it-en,good location
"Izvrstan, novi hostel u centru Pariza. Javni prijevoz pristupačan. Čisto, uredno, domaćini izlaze u susret.",1,bosnian,hr-en,"Great new hostel in the center of Paris. Public transportation is available. Clean, tidy, the owners come out to meet."
Good places. Small rooms. But good price.,1,english,en-en,Good places. Small rooms. But good price.
"good place!!!! 
",1,english,en-en,"good place!!!! 
"
"너무 좋았습니다.
청결,위치등등 뭐 하나 빠질께 없네요",1,bosnian,ko-en,"Too good.
Cleanliness,location etc what is one fall with no"
ottima posizione negozi sotto casa,1,bosnian,it-en,"great location, shops near the house"
"Brice很友好,住宿时间灵活",1,bosnian,en-en,"Brice很友好,住宿时间灵活"
So good.,2,english,en-en,So good.
여기는 지하철역도 가깝고 마트와도 가까워서 모든것이 편리하다. 그리고 대부분의 관광지와 지하철로 짧게 이동할 수 있다. 숙소도 아늑하고 편했고 무엇보다도 Steve가 무척 친절했다.,1,bosnian,ko-en,Here is a subway station close to town and close to all convenient. And most of the tourist attractions and the subway as short as you can move. Rooms are cozy and comfortable and more than anything Steve were friendly.
Buona posizione.,1,bosnian,it-en,Good location.
positivo,1,bosnian,it-en,positive
Luogo sublime.,1,bosnian,it-en,Sublime place.
Posizione eccezionale! Da provare.,1,bosnian,it-en,Exceptional location! For you to try.
"非常適合一人旅行,員工非常Nice,離地鐵站又很近,很喜歡",2,bosnian,zh-en,"Very suitable for one person travel,the staff is very Nice,away from the metro station and very near,very like"
"公寓的地理位置很棒,靠近地铁站,也靠近蒙帕纳斯大厦,楼下有许多餐厅和bar,但是环境依然很安静｡房子内设施和物品也很齐全,很干净,就是吹风机不太好用｡会推荐给朋友｡",1,bosnian,zh-en,"The apartment location is great,close to Metro station,also close to the Montparnasse Tower,downstairs there are many restaurants and bar,but the environment is still very quiet area. Within the house facilities and items is also very well equipped,very clean,is the Hairdryer is not very good with the apartment. Would recommend to a friends house."
nada,1,bosnian,es-en,nothing
Value to price.,1,english,en-en,Value to price.
Čista i novouređena soba sa doručkom u hotelu. Dobra lokacija.,1,bosnian,hr-en,Clean and recently renovated room with Breakfast at the hotel. Nice place.
Solidan smjestaj za prespavati nekoliko noci. Lokacija također dobra s obzirom na velicinu grada,1,bosnian,hr-en,A solid bed to sleep for a few nights. The location is also good considering the size of the city
i,2,bosnian,en-en,i
Good service,2,english,en-en,Good service
Prima verblijf,1,bosnian,nl-en,Excellent stay
Localizaçao otima preço alto,1,bosnian,pt-en,"Location, good price high"
Boravak u Parizu nam je bio fenomenalan! Sa apartmanom smo odusevljeni! Na dobroj je lokaciji! Topla preporuka!,1,bosnian,hr-en,Stay in Paris for us was phenomenal! The apartment we odusevljeni! He's in a good place! Hot recommendation!
"Dobra lokacija uz sve potrebno za prezivljavanje prilikom istrazivanja Pariza. Los krevet i nedostatak zabavnih sadrzaja (tv). Znaci, stan je super  za kolko tolko se naspavat, prespavat noc i nesto pojest. Ako ste prvi put u Parizu i vise nego dovoljno.",1,bosnian,hr-en,"Good location near everything you need to prezivljavanje with studies of Paris. Los bed and the lack of entertainment facilities (TV). Signs, the apartment is perfect for how much money you naspavat, great value for the night and something. If you are in Paris for the first time and more than enough."
Prima!,1,bosnian,it-en,First!
집앞에 bar가 많고 슈퍼가 있어서 좋았다. 숙소는 진짜 깨끗했다. 호스트가 썰명츙이셨다. 세탁기 냉장고 있다했는데 우리가 떠날때가 되어서야 가져왔다. 그래도 친절하셨음. 화장실좋음. 앞집이 밤에 시끄럽게했다. 그거빼면 다굳~,1,bosnian,ko-en,"The house in front of the bar much super you have. The hostel is really clean. Host sled description 츙. Washing machine fridge. did we leave then that brought. So friendly, helpful and nice. The toilet too. The night loudly. It is a bit different.~"
Sin ningún problema.,1,bosnian,es-en,Without any problem.
"Odlična lokacija, pogotovo za mlade, s mnogo restorana i mjesta za izlazak u neposrednoj blizini apartmana. Smještaj u staroj pariškoj zgradi poseban je doživljaj,  samo što pogled kroz prozor nije očaravajući.  Apartman je vrlo čist, a vlasnica je izuzetno susretljiva i draga osoba.",1,bosnian,hr-en,"Great location, especially for Teens, with lots of restaurants and places to go within easy reach from the property. Stay in an old Parisian building, is a special experience, only that the view out the window fascinating. The apartment is very clean, the hostess is very far and expensive."
good place.,1,english,en-en,good place.
"在这家民宿住的非常舒服!
对面是地铁5号线,走几分钟是地铁1号线,巴黎挺小的,靠地铁可以玩转市区,住这里完全够了｡
家里什么都有,洗衣机,洗衣液,熨斗,吹风机,咖啡机,微波炉,冰箱,雨伞……甚至各种厨具,灶台……我和我的小伙伴还在这里做饭了｡每周四每周日,民宿门口就是巴士底集市,有非常本土化的小吃和食材,如果想体验当地生活一定不要错过｡
床也非常软,是真的软,累了一天躺倒床上非常有幸福感｡
来之前还担心过安全问题,来之后觉得这间民宿位置比较幽静,在我入住期间,没有发生任何不愉快的事情｡
房东似乎不在巴黎,把房门钥匙交给了一个机构,房客需要和这个机构的工作人员对接,刚好和我们对接的是一个中国留学生,入住完全无障碍!

如果还来巴黎,我很有可能还会住这里,唯一感到困扰的是,入住时间比较严格,也无法提前来安置行李｡但似乎巴黎民宿都是这样的｡这个房子有个超大的落地窗,但是落地窗上疑似锁坏了,好在有个卷帘门,但还是存在一定的安全隐患,不确定这个卷帘门能不能从外面打开｡如果要预定,可以提前跟房东确认落地窗锁的问题｡

如果满分100分,个人体验可以给这家民宿打上80分!
感谢房东eric!",1,bosnian,zh-en,"In this house live very comfortable!
The opposite is the Subway Line 5,a few minutes away is the subway line No. 1,Paris is quite small,against the subway can be fun for the city,a stay here is completely enough to the room.
The House has everything,washing machine,Laundry detergent,iron,Hairdryer,coffee maker,microwave,refrigerator,umbrella...... Even a variety of kitchen utensils,hob...... Me and my friends are still here cooking up as well. Week four Sunday,B & B door is the Bastille market,a very local snacks and ingredients,if you want to experience the local life don't necessarily miss home.
The bed is also very soft,really soft,tired a day lying in bed a very happy sense of home.
To before also worried about security issues,to After think this homestay location is secluded,in my stay,did not happen any unpleasant things home.
The landlord did not seem to be Paris,turn the door key handed over to an Agency,the tenant needs and the Agency's staff butt,just, and our docking is a Chinese International Student,check-in is completely disabled!

If you come to Paris,I'm likely to also will live here,only to feel bothered,check-in time is relatively strict,but also cannot advance to accommodate the Luggage area. But it seems that Paris bed and Breakfast are like this. This house has a large floor to ceiling Windows,but floor to ceiling Windows on the suspected lock is broken,luckily I have a roller door,but still there are some security risks,not to determine the rolling door can not be opened from the outside area. If you want to book,can in advance with the landlord to confirm the floor-to-ceiling lock the problem area.

If out of 100 points,personal experience can give this property on 80 points!
Thanks to the landlord, eric!"
good place!,1,english,en-en,good place!
good.place,1,english,en-en,good.place
