comments,N,lang,comment_in_english
"Nous avons passé un très bon moment en famille dans l'appartement de Franck! Le point le plus positif est sans doute sa location qui est tout simplement parfaite pour découvrir Paris. En plus, le métro est à quelques pas.. L'appartement à beaucoup de cachet et est bien tranquille malgré le fait que nous y étions pendant la finale de l'EURO! ",1,french,
"La localisation de ce logement est excellente, près de tout, mais puisqu'il donne sur la cours intérieure c'est très calme la nuit. Nous avons beaucoup aimé notre séjour. Quelques petites choses pourraient être améliorées pour rendre le séjour plus confortable:
- le divan lit grince énormément ce qui rend le sommeil difficile.
- il faisait très froid pour nos premiers jours à Paris et le chauffage électrique ne fonctionnait pas dans le salon.
- la douche ne semble plus couler comme le disait les commentaires précédents, toutefois elle est un peu sale et la pomme de douche serait vraiment à changer.
Sinon nous n'avons rien à redire!",1,french,
"Appartement très bien situé dans Paris, au calme, bien équipé, et avec du charme",1,french,
Frank est beau et gentil Il a bien explique tout!  L'appart est propre et bien situe. Voila voila voila~ On reviendra,1,french,
"Nous avons été accueillis par une personne extrêmement chaleureuse, attentive et prévenante, qui a tout fait pour faciliter notre installation, notre séjour et le rendre agréable. L’appartement est idéalement situé, dans un quartier vivant et pratique, à proximité des centres actifs de Paris (transport en commun, accès à pied) - dans une rue calme et silencieuse.   
Tout ce que nous pouvions attendre à partir de la description était là, et même davantage, dans les meilleures conditions de fonctionnement et d'accès. Nous avons particulièrement apprécié la prévenance et le dynamisme de notre hôte.  ",1,french,
Nous avons fait un voyage fantastique. Le logement était bien situé et très propre. Un endroit à retourner.,1,french,
"Ce logement est un pied à terre idéal pour découvrir les charmes de Paris. Logé dans une ruelle assez tranquille, il est près de nombreux services et bien desservi par les transports en commun. 
Elisabeth a bien communiqué avec nous avant notre arrivée et nous a fait un accueil chaleureux et informatif. ",1,french,
"Un accueil chaleureux et personnalisé, Elisabeth vous êtes une hôte exceptionnelle. Chez Elisabeth, tout est parfait. Un petit nid douillet, parfaitement équipé, très bien situé. Un endroit idéal pour passer quelques jours à Paris. Je reviendrai. Encore merci Elisabeth pour cette semaine.",1,french,
Tout était parfait. Nous avons été très bien accueillis. Nous avons reçu immédiatement toutes les informations nécessaires pour notre séjour dans l'appartement (mode d'emploi etc.). Nous avons aussi reçu de très bonnes informations coté visites dans Pari. Merci encore Pascal pour ce beau séjour.,1,french,
"Même si nous ne sommes restés qu'une nuit, nous avons pleinement apprécié ce séjour parisien :) L'appartement est très bien situé, joliment décoré et spacieux. Pascal a été un hôte vraiment sympa et accueillant, il met tout de suite à l'aise, c'est un plaisir ! Merci beaucoup pour ce séjour, on reviendra sûrement !!",1,french,
"Week-end impeccable chez Pascal. Accueil très sympa, appartement agréable et bien situé. À refaire sans hésiter!",1,french,
"Merci à Pascal pour l'accueil génial, les confitures maison, et les deux super chambres en enfilade. L'appartement est idéalement situé, non loin du boulevard Richard-Lenoir, dans un immeuble charmant, et très parisien (pour les étrangers : c'est très typique, et au 5ème sans ascenseur :-). Nous reviendrons sans hésitation dans ce havre de paix, très calme et décoré avec un goût sûr. Bravo.",1,french,
Nous avons passé une nuit chez Pascal. L'appartement est bien situé et très bien équipé. Le petit déjeuner inclus est un must. Merci!,1,french,
"Experience ideale, Super accueil, super appartement, un vrai petit nid au milieu de Paris, Pascal est vraiment charmant et très disponible. Un grand merci, au plaisir!",1,french,
"Très bon accueil de Pascal, disponible, présent à notre arrivée.
Appartement confortable, bien situé et très calme, parking à 500m.
Nous avons apprécié le petit déjeuner, il y a vraiment tout ce qu'il faut pour bien démarrer la journée!
Nous y avons passé une seule nuit mais c'est une adresse que nous retenons. Merci!",1,french,
"Nice Stay in """"le 11ème"""" Still Alive et ô combien vivant
A deux pas de toute comodité citadine
Disponibilité totale, Merci.
Le silence en prime une fois fermés portes et fenêtres 
Encore merci de votre hospitalité
Luigi
",1,french,
"Weekend parisien au top dans l'appartement de Pascal, très sympathique, disponible et arrangeant! Très bien situé (à 2 pas des arrêts Parmentier, Richard Lenoir et Oberkampf) propre et agréable, avec un balcon tout mignon... En plus, petite attention qui fait plaisir, tout le nécessaire pour le petit déjeuner est fourni, avec une confiture à la rhubarbe juste délicieuse...
Bref, je le conseille vivement et j'y retournerai avec plaisir! Merci Pascal!",1,french,
Notre hôte Pascal nous a accueilli à notre arrivée.  Il était très sympathique et polit. Très joli cartier.  Prêt de tout.  L'appartement était bien aménagé.  Une épicerie à quelques pas seulement.  L'appartement ressemble à ce qu'on peut retrouver sur le Plateau Mont-Royal à Montréal.  Très satisfaite de notre séjour!,1,french,
"Pour un séjour de 3 jours a Paris en famille, l'accueil par Pascal a été chaleureux et très sympa. Il a été super flexible pour notre arrivée tard le soir et il a tout fait pour que nous nous sentions à l'aise dans son appart. L'appart est très bien situé dans un quartier sympa, bien vivant mais pas trop agité ni bruyant. Pascal nous a indiqué plusieurs restos sympa a deux pas, on en a essayé deux, on a vraiment pas été déçus. 
L'appart est propre, ambiance bien parisienne, proche du métro. Convient parfaitement pour un agréable séjour a Paris.",1,french,
"L'appartement de Pascal est super bien placé et les deux chambres avec charme et joliment décorées. Il y a même un grand balcon pour des jours plus chauds... Tout est calme et on a assez de place pour les affaires personnels. Pascal a été extrêmement gentil et on même temps très relax et nous faisant confiance. En somme, cela nous a beaucoup plu. Dans la rue, plein de petits bars, bistrots, laverie, supermarché, du Paris pur!",1,french,
"Excellent, tout était parfait!!",1,french,
"Très bon accueil, central, bien équipé à recommander

",1,french,
"Excellent accueil, appartement très confortable 
Je recommande ",1,french,
Accueil chaleureux et appartement bien situé et très agréable. A recommander.,1,french,
"Pascal est un hôte vraiment accueillant et disponible. Appartement coquet, très propre et charmant. On a envie de revenir ",1,french,
"Notre séjour s'est très bien passé ! L'appartement est très confortable.
Les petits services (de quoi petit déjeuner par exemple) sont un vrai plus !!
Je le recommande fortement !",1,french,
"Logement bien situé, très agréable. Lumineux et bien aménagé avec du mobilier de qualité. La terrasse est un réel plus même pour les mois d'hiver.",1,french,
"Bel appartement spacieux, propre et très bien situé. J'ai passé un bon séjour et Pascal a été de bon conseil.",1,french,
"L’appartement est exactement comme décrit dans l’annonce. Appartement spacieux, lit confortable, emplacement de premier choix pour aller boire un verre, pour y manger et profiter de la vie parisienne tout en étant au calme et bien se reposer. Merci beaucoup et bonne continuation. je recommande",1,french,
"Accueil impeccable, le quartier est sympas, facile d'accès. Immeuble très calme",1,french,
"Hôte charmant et disponible. Logement très bien tenu, literie très confortable !!! Idéal pour recharger les batteries après de longues journée de marche dans Paris.",1,french,
L'appartement de Pascal est impeccable. Il est lui même très sympa. Nous étions venu pour le travail et nous n'avons trop pu visiter mais le quartier à l'air assez animé même si l'appartement lui est au calme. Je recommande.,1,french,
"Réactivité, excellent accueil, attentions pour le petit déjeuner, convivialité : merci aux Pascal pour leur accueil !
L’appartement est très confortable bien aménagé et proche de tout. De nombreux conseils et explications de nos hôtes.
Je recommande, allez-y les yeux fermés !",1,french,
"Merci à Pascal, pour sa gentillesse et son hospitalité. Notre séjour etait parfais.",1,french,
Nous avons été très bien accueillis par Pascal qui était très réactif par téléphone ce qui fut appréciable compte tenu de notre horaire d'arrivée évolutif. L'appartement est très agréable. Pascal avait préparé tout ce qu'il fallait pour le petit-déjeuner de sorte que nous n'avons pas eu à nous en occuper. Je recommande cette adresse.,1,french,
"Appartement très sympathique avec vue dégagée sur les toits de Paris.  Excellent quartier, central et à explorer.",1,french,
L'appartement est parfaitement conforme aux descriptions et aux (Website hidden by Airbnb) merveilleusement placé. La disponibilité et la gentillesse naturelle de Pascal sont un atout supplémentaire pour rendre votre séjour agréable. A recommander absolument.,1,french,
"Pascal est accueillant, chaleureux, et professionnel. L’appartement était propre et Pascal nous a permis de déposer nos valises avant l’heure d’arrivée prévue, ce qui était super utile. Par-dessus tout était le balcon avec une très belle vue sur Paris. On a décidé de se passer d’un restaurant pour profiter du soleil et un peu de vin et de fromage. Un rêve parisien devenu réalité.",1,french,
"L’appartement correspond tout à fait à la description et aux photos. Il est agréable à vivre, suffisamment spacieux. Il est bien situé avec plusieurs lignes de station de métro à proximité. Pascal est très disponible et a mis à disposition beaucoup d’accessoires afin de faciliter notre séjour. ",1,french,
"Appartement nickel , confortable, hôte charmant ",1,french,
"Bonne adresse, bien placée, hôte charmant.",1,french,
Appartement très agréable et bien agencé. Pascal est très sympathique et vous accompagne parfaitement.,1,french,
"Pascal a le sens de l'accueil et est très attentif au confort de ses hôtes.
L'appartement est très bien équipé, conforme à la description et idéalement situé dans un passage privé très calme : sommeil de qualité assuré.
De plus, le petit déjeuner est prévu, avec confitures maison !
A recommander sans réserves !",1,french,
"Très bon accueil, remise des clés facile. L'appartement est tres agréable et fonctionnel et bien situé.",1,french,
Super appartement  au coeur du 11 ème sans les nuisances sonores  de la vie Parisienne.  Un havre de paix en plein 11 ème.  j AI ADORÉ,1,french,
"J'ai été très bien accueilli par Pascal, charmant, qui m'a expliqué tout ce qui pouvait l'être sur les fonctionnalités offertes par l'appartement.
Lequel donne sur une impasse fleurie et familiale très tranquille.
Très agréable et très pratique, bien situé.
Pascal laisse à la disposition de ses hôtes tout ce qu'il faut pour prendre un petit déjeuner, avec ses confitures maisons.
J'y reviendrai certainement.
Merci !",1,french,
"excellent accueil et disponibilité
appartement très sain et pratique
merci à Pascal pour les attentions prévues au petit dej.
l'appartement est parfaitement situé et dans une cour très calme.
le quartier est dynamique pour aller jusqu'au bout de la nuit.
a recommandé sans problème.",1,french,
"Pascal est un hôte extraordinaire. Il nous a reçu à la perfection et à été d'une très grande courtoisie. L'appartement était impeccabl, très propre et très bien situé et fidèle à la description. Un très bon choix pour visiter Paris. 
Yannick",1,french,
Appart très sympa bien situé au calme et proche de tout. A retenir pour ma prochaine escapade parisienne. Merci Pascal,1,french,
"Hôte agréable et disponible .
Appartement simpa et relativement bien placé dans un quartier populaire de Paris ",1,french,
"Merci Pascal pour votre accueil!!
Merveilleux séjour . Mes enfants ont adoré votre petit nid douillet ..",1,french,
L'appartement de Pascal est très agréable et surtout très calme. La campagne à Paris en quelque sorte. Je recommande.,1,french,
"C'est d'abord un accueil et un sourire par la fenêtre, une invitation à entrer dans un cocon et présenter les lieux pour s'y sentir comme chez soi.
Tout est propre, on s'y sent bien tout de suite.
Merci Pascal pour votre gentillesse, pour ces petites attentions du petit déjeuner. Je reviendrai, c'est certain.",1,french,
"Excellent séjour passé dans cet agréable appartement très calme (entre 2 cours intérieurs) et lumineux. 
L'appartement est très bien agencé et équipé. 
Le quartier, de part ses nombreux restaurants, et lui même très agréable. 
Très bon accueil de Pascal qui au petits soins pour les locataires: conseils, confitures maison, petit déjeuner, etc. 
Je garde cette adresse pour un prochain week-end parisien. ",1,french,
"Le logement était parfait, l'accueil fort amical, la literie confortable. 
Tout cela dans havre de paix au sein d'un quartier vivant et agréable. 
Que dire de plus, une excellente expérience.",1,french,
"Un appartement sympathique bien décoré et éclairé, un Wifi performant pour travailler, un lit confortable et accueillant. Petit plus Pascal a été très prévenant et attentif  lors de mon arrivée. Le petit déjeuné qui m'a été gracieusement offert était juste parfait ! Milles mercis ! ",1,french,
"Endroit idéal pour visiter Paris. Pascal communique au tac au tac et sa disponibilité est extraordinaire. L'appartement est facilement accessible en métro depuis la gare du Nord sans devoir marcher longtemps. L'endroit a du charme , est  calme et sécurisé.
Tout a été pensé pour le confort. Super cuisine !
Chambre séparée du séjour et grand lit. Très appréciable.
A proximité une épicerie, des cafés et des restaurants. Facile le soir quand on rentre d'une journée chargée.
Nous avons adoré """" l'homme bleu"""" à deux pas, les tajines sont incroyables et l'accueil très chaleureux.
Nous y retournerons volontiers.",1,french,
"Un super accueil, un appart charmant dans un super quartier 
Merci Pascal",1,french,
"Dormir au calme, c'est possible à Paris avec ce logement confortable et bien équipé.
Il est idéalement placé pour les transports en commun, les visites à pied, les restaurants et commerces de proximité dans un charmant quartier.",1,french,
"Appartement complet avec le service qui va avec.
Je conseille sans aucun problème.",1,french,
"Séjour en famille (avec 2 enfants) très agréable. Appartement confortable situé dans une impasse privée donc calme. Literie excellente. Petits déjeuners fournis donc pratiques, excellentes confitures maison. Pascal est très accueillant et sympathique. A proximité de l'appartement : restaurants, commerces, métro ...  ",1,french,
"Très chouette appartement dans un cadre atypique, on s'y sent chez soi grâce à l'accueil chaleureux et aux confitures maison de Pascal. Bonne literie, quartier animé mais l'appartement est en retrait de rue donc reste calme. Cadre romantique, je recommande. ",1,french,
Excellente communication. Appartement fidèle à la description. Je recommande.,1,french,
"Un petit appartement sympa fonctionnel et bien équipé
Le plaisir d un frigo bien garni pour le petit déjeuner notamment ",1,french,
Très bien pour une nuit. Proche du métro,1,french,
"Un véritable nid de bon gout et de confort jusque dans les détails du petite déjeuner.  J'y ai passé très peu de temps mais j'y reviendrai. 
Ou comment trouver une endroit d'un calme absolu coté chambre alors que vous êtes à 100 mètres d'un des quartier les plus chauds (et sympa selon moi) du moment dans la capitale.",1,french,
"Très bon séjour, appartement idéalement placé, calme et dans un quartier animé à la fois. Reçu très agréablement, rien n'a été laissé au hasard, merci !",1,french,
"Appartement très bien situé, très bien équipé, avec, et c'est fort sympathique, tout le nécessaire pour les petits déjeuners.
À recommander.",1,french,
"Appartement conforme à la description, extrêmement bien placé et très calme.",1,french,
Comme chez soi avec l’attention de Pascal en prime. Endroit très charmant,1,french,
Un sejour merveilleux... la magie d un paris fantasmé... au coeur d un quartier vibrant d energie... un ecrin parfait pour deguster la capitale. Merci de votre partage pascal...,1,french,
"Appartement fidèle à l'annonce, très bien placé, proche du métro. Pascal est un hôte accueillant et au petits soins.",1,french,
"Situé dans une allée calme, au sein d'un quartier vivant, l'appartement sympathique de Pascal est propre et bien équipé. Pascal nous a gentiment accueillis et a toujours été disponible pour répondre à nos questions.
Clean and well equipped, Pascal's apartment is in a lively neighborhood, but in a quiet alley. Pascal welcomed us and was available to answer our questions. 
Nice little apartment.",1,french,
"Un très bel appartement, idéalement situé près d’une station de métro, avec de bons petits restaurants et des bars sympas. Une très bonne adresse à recommander.",1,french,
"Super séjour professionnel chez Pascal. Emplacement idéal, facilité pour se garer. 
Je recommande !",1,french,
"J'ai loué l'appartement de Pascal pour un couple d'amis. La communication avec Pascal a été très fluide. L'appartement est exactement comme décrit dans l'annonce ; il situé dans un passage avec beaucoup de charme ; de nombreux commerces sont à proximité (belle boulangerie, bar branchés, restaurants, supermarché) ; et proche du métro (lignes 2, 3, 5 et 9). Pascal est un hôte agréable et réactif qui aime partagé ses bons plans !",1,french,
"Accueil parfait, appartement tranquille, confortable et charmant! Je recommande sans aucune hésitation.",1,french,
"Appartement situé dans un quartier vivant proche de tous les restaurants, le métro, les commerces. Vous entrez dans une allée calme jongée de plantes qui ressemble à un paysage de campagne... et pourtant vous êtes en plein coeur de Paris. L'appartement contient tout ce dont vous avez besoin. A mon arrivée j'ai surtout apprécié l'accueil sympathique de Pascal et les provisions pour un petit déjeuner copieux avec en prime la brioche et la confiture maison. Merci Pascal!",1,french,
"Ce petit appartement très calme en plein centre de Paris est très convivial et fonctionnel. 
Je remercie sincèrement Pascal pour son accueil chaleureux et discret. 
Si vous séjournez à Paris et que l’appartement de Pascal est disponible vous êtes chanceux ! Vous garderez un souvenir très agréable de votre séjour et de votre rencontre avec Pascal.",1,french,
"Un appartement correspondant parfaitement à la description, très agréable et bien aménagé, le tout dans un quartier agréable et très animé. Communication très rapide et efficace avec Pascal.",1,french,
"Pascal a été accueillant, attentionné et il a partagé ses bonnes adresses. Il a laissé tout ce qu’il faut pour qu’on puisse se faire un petit déjeuner : pain, yaourt, beurre, thé, café et confitures maison! Les lits sont confortables, le logis bien décoré et tout est d’une propreté impeccable. J’ai expérimenté plusieurs AirBnB et celui-ci est une perle rare. L’emplacement est idéal pour quiconque veut expérimenter le Marais. Très bon point de départ pour explorer Paris!",1,french,
"Appartement fonctionnel, bien placé dans une petite rue fleurie et calme , proche des transports en commun et des commerces . Il est très agréable d’avoir tout le nécessaire pour le petit déjeuner. 
Pascal est très accueillant, à l’écoute et disponible. 
Petit bémol, un voisin parfois bruyant la nuit ... mais c’est Paris !",1,french,
Apartement conforme aux photos et à la description. Très propre et bien aménagé. Quartier très animé. Sympa!,1,french,
Je recommande l'appartement de Pascal. Il nous a accueilli chaleureusement et il a pris le temps de nous expliquer tout ce dont nous avions besoin de savoir. L'appartement est très bien situé dans Paris près de tous les services. Nous avons apprécié avoir tout le nécessaire pour le petit déjeuner avec en plus une délicieuse confiture maison. Merci!,1,french,
"Bonjour,

Nous tenons à souligner que nous avons véritablement apprécié  la commodité du studio. Le lit ainsi que le canapé étaient confortables, le quartier n’est pas bruyant malgré la grande quantité de touristes en haut de la butte Montmartre. Le studio est également très bien aménagé de sorte que la chaleur est répartie uniformément dans le 25m2. Il se trouvait dans un emplacement des plus enviables, soit juste à côté de la Basilique Sacré-Cœur et comme mon fils et ma belle-fille logent à deux rues de ce studio, cela s’est avéré d’autant plus pratique. Aux alentours de la rue Nicolet, on a pu découvrir un amas de cafés et restaurants fort sympathiques ce qui n’a fait qu’amplifier la beauté de notre voyage.

Merci beaucoup,",1,french,
"Excellent appartement ! Michael est un hôte très agréable, prévenant. Je n'ai eu aucune mauvaise surprise. Je recommande vivement Michael !",1,french,
"Appartement très central, très agréable et très bien équipé Josiane est très disponible. Séjour de plus de 3 mois très agréable.
",1,french,
"l'endroit mérite bien son nom, l'appartement est assez bien équipé et toutes les commodités dans le quartier.
nous avons profité un max pour les balades à pied ou pour nos déplacements en métro.
nous avons aussi beaucoup apprécié la  sincérité et la flexibilité de Josiane.",1,french,
"Bon accueil, toutes nos demandes ont été entendues. Le logement bien équipé, calme, propre, dans un quartier de Paris très agréable.
Seul bémol, lappartement et au 6ième étage et pas d'ascenceur, mais c'est mineur par rapport aux aventages. ",1,french,
"Nous avons passé quatre jours à Paris dans le logement de Josiane. Très bien situé, proche de trois différentes station de métro, vous pouvez meme aller à pied jusqu'aux Champs Elysées!
Josiane a fait le maximum pour que nous nous sentions chez nous. L'appartement est simple mais bien équipé nous avons meme trouvé un ventilateur qui s'est rendu bien utile avec la chaleur qui régnait sur Paris. Evidement, il faut monter les escaliers pour y parvenir mais de la haut, vous avez un peu de vue sur les toits de Paris et puis c'est très calme.
Merci à Josiane.",1,french,
"Nous avons loué cet appartement 3 mois, comme pied à terre.
Bien placé pour les transports (près de la Gare St Lazare) c'est un appartement calme, compact et mansardé. L'environnement de l'immeuble et de sa cour intérieure est très agréable à l'exception de la cage d'escalier qui mène à l'appartement. L'accès est sécurisé (code et porte blindée). Les équipements sont tels qu'ils sont décrits dans l'annonce. Josiane a toujours été très disponible et réactive quand on avait une question.
Bref un pied à terre pratique. 
",1,french,
"Josiane est une hôtesse disponible et charmante
Son appartement est idéalement situé dans Paris",1,french,
Appartement très bien situé dans Paris et très confortable. Il y a vraiment tout ce qu'il faut dans le quartier. Merci encore pour votre accueil et peut être à une prochaine!,1,french,
"Le studio en plein coeur d'un quartier effervescent est un oasis de calme ! Léna nous a accueilli avec gentillesse, avec le souci que nous profitions au maximum de notre séjour à Paris.

Elle nous as remis entre autres des informations écrites et utiles sur les points à voir et les restaurants à essayer.

L'appartement est agréable, propre et fonctionnel. Nous le commandons sans hésiter.",1,french,
"Location parfaite, idéalement située, fidèle à la description et aux photos diffusées sur le site.

Léna est une hôte disponible et prévenante qui a pris la peine de nous confier ses bons plans restos.

Bref, une première expérience Airbnb très  concluante!!!",1,french,
"Moi e mon mari avons  passé un weekend très agréable et confortable dans le studio de Léna. La vue du patio est magnifique. Láppartement est bien équipé et trés silencieux. La localization est super ,tout prés d'une petite et jolie place pleine de restaurants .Léna est trés sympa et bien disponible ,pour  nous aider  a passer un bon séjour.",1,french,
"Nous avons passé un très bon WE à Paris, le studio de Léna est fonctionnel et chaleureux.
Bonne adresse!",1,french,
"merci Léna pour votre accueil et aussi pour la gentillesse de votre fille qui a recu Camille et son copain. Tout était bien et Camille reviendra avec plaisir
Amitiés. Odile Mansoor",1,french,
"Je recommande cet appartement, le site est excellent, à proximité de nombreux points d'intérêt à Paris, idéal pour deux personnes. L'appartement est très agréable et décoré avec goût. Lena est très agréable et fournit toutes les informations dont vous avez besoin de manger, café, points d'intérêt ..... Merci Lena. .Nous devons revenir à Paris et nous allons vous appeler pour louer votre appartement.",1,french,
Très bon séjour sur Paris avec cet appartement qui nous a propulsé dans la vie Parisienne pendant quelques jours.  Merci pour l'accueil et votre disponibilité.,1,french,
"Nous avons passé trois jours chez Lena. J'ai été surpris par la simplicité, la gentillesse et la serviabilité du propriétaire. Grand emplacement de l'appartement. J'espère y retourner bientôt!",1,french,
"L'appartement est idéalement situé au coeur du Ve arrondissement, derrière le Panthéon. Si vous souhaitez découvrir le quartier latin sous tous ses angles, l'appartement de Léna est super. De plus, il est aussi très près de la Cathédrale Notre-Dame, et en général près du centre de Paris. Appartement très agréable, bien pour un weekend et même une semaine ! Merci à vous
",1,french,
"Appartement confortable au coeur du quartier Latin et très proche de la station de métro. Bien chauffé, parfait pour un week end dans la capitale.

Petit bémol concernant le réfrigérateur et le ballon d'eau qui sont un peu bruyants (ce dernier s'arrête néanmoins dans la nuit) ... Prévoir des boules quies en ce cas !",1,french,
Accueil très sympathique. Appartement calme donnant sur un petit jardin. Idéal pour découvrir Paris pendant quelques jours.,1,french,
"Léna a vraiment été très arrangeante, nous sommes arrivés très tard à Paris (22 heures) mais quelqu'un nous attendait avec le sourire. Le studio de Léna st un parfait petit pied à terre pour découvrir Paris : métro et bus à proximité immédiate. Il est situé dans une impasse privée arborée et très tranquille +++ génial le matin. Les informations fournies par Léna aux voyageurs sont très utiles pour profiter du quartier, de ses restaurants et des boutiques.
A recommander",1,french,
"Nous avons bien été accueillies par la fille de la propriétaire.
Le logement est en fait un studio reconverti en bureau. Il est idéalement placé pour Paris. En revanche, le couchage doit être amélioré, un matelas à même le sol est loin d'être idéal ... Le fait de dormir par terre, nous nous sentons flouées, nous n'étions pas parties pour du camping en appartement... Certes c'est un beau quartier, mais garantir un couchage confortable et décent est un minimum, car le tarif lui correspond au quartier. La propriétaire nous avait fourni sur papier toutes les adresses incontournables du quartier, nous avons apprécié cette attention. ",1,french,
"
Notre séjour à Paris était un grand succès. La communication avec Léna est une fête, elle faite attention à tous nos questions et elle est très efficace avec les informations. L' appartement est situé dans un jolie coin du quartier, très calme est avec des arbres et nature au milieu de Paris.     
Nous avons trouvé l' endroit idéale et c'est sûre que nous voulons retourner une (ou plusieurs) fois!  Merci pour tous  Willemien et Ernst  

Het is echt heel bijzonder om op deze manier een paar dagen in Parijs te wonen. Wat eenoase van rust midden in een metropole.

",1,french,
"Léna nous a accueilli chaleureusement, meme si nous somme arrivés en retard un peu. Elle nous a donnée beaucoup de conseils de visiter le quartier Latin. Son studio est joli et calm. Notre séjour à Pairs était très agréable. Merci encore à Léna!",1,french,
"Nous avons été très aimablement accueillis par Léna, conformément à ce qui avait été préalablement arrangé. L'appartement est parfait pour un week-end à deux et tout à fait conforme à la description donnée. Excellente localisation, à la fois protégée des bruits de la rue et à 100 m de la charmante place de la contrescarpe. On ne peut que le conseiller.",1,french,
Appartement très bien situé et charmant! Recommandé!,1,french,
"Les photos étaient tout à fait conforme au studio
Je recommande ce logement surtout pour sa situation très tranquille dans une impasse avec vue sur un jardin (aucun bruit) et pour le quartier qui ressemble à un petit village ",1,french,
"Léna nous a très bien accueilli, le studio est conforme à la dèscription, le quartier est très sécurisant et plaisant, les cartes du quartier et du métro que Léna met à disposition, nous ont bien aidé, bref,  j'y retournerai avec plaisir !",1,french,
"Très chouette séjour chez Léna.
Merci pour toutes les explications et les documents qui sont à disposition pour découvrir Paris .
L appartement est dans un quartier très sympa, la rue est calme .
Petit plus : la climatisation qui a été plus que nécessaire durant notre Sejour !
Merci beaucoup ",1,french,
"Appartement au calme, très agréable et confortable dans un quartier authentique proche du centre de Paris.",1,french,
Un appartement vraiment très agréable! On a passé un très bon séjour.  Malgré notre arrivée tardive tout à été mis en place pour que l'on puisse avoir accès à l'appartement. Merci pour tout,1,french,
"Malgré une arrivée tardive (merci la SNCF) quelqu'un etait là pour nous attendre avec le sourire.
Quelle surprise cette petite impasse au calme en plein Paris, St Germain à  10 minutes à pieds, le Marais, l'ile de la cité tout à pied!
A ne pas manquer la petite place juste en sortant de l'impasse à gauche.
",1,french,
Nous avons passé un merveilleux week-end dans cet appartement idéalement placé dans Paris!,1,french,
